Наименование;Установленная мощность, МВА;Классы напряжения
ПС 220 кВ Глебово;120;220/10
ПС 220 кВ Заречная(П607);250;220/110/10
ПС 220 кВ Павелецкая;120;220/10
ПС 220 кВ Парская;250;220/110/35/10
ПС 220 кВ Сасово;250;220/110/10
ПС 220 кВ Ямская;460;220/110/6
ПС 500 кВ Михайловская;1402;500/220/110/35
