Наименование;Установленная мощность, МВА;Классы напряжения
ПС 110 кВ Рудня;26;110/35/10
ПС 220 кВ Восток;628;220/110/10
ПС 220 кВ Компрессорная;552;220/110/10
ПС 220 кВ Литейная;800;220/110/35
ПС 220 кВ Смоленск-1;205,5;220/110/6
ПС 330 кВ Рославль;400;220/110/10
ПС 330 кВ Талашкино;900;330/220/110/10
