Наименование;Установленная мощность, МВА;Классы напряжения
ПС 110 кВ Белиджи;30;110/35/10
ПС 330 кВ Дербент;432;330/115/10,5
ПС 330 кВ Махачкала;410;330/115/10,5
ПС 330 кВ Чирюрт;400;330/115/10,5
