Наименование;Установленная мощность, МВА;Классы напряжения
ПС 330 кВ Выходной;530;330/150/6
ПС 330 кВ Княжегубская;255;330/150/110/10
ПС 330 кВ Мончегорск;1000;330/150/35
ПС 330 кВ Мурманская;250;330/150/35
ПС 330 кВ Оленегорск;250;330/110/35
ПС 330 кВ Титан (Апатиты);500;330/150/35
