Наименование;Установленная мощность, МВА;Классы напряжения
ПС 220 кВ Абаза;45;220/35/6
ПС 220 кВ Абакан-Районная;400;220/110/10
ПС 220 кВ Аскиз;43,15;220/35/10
ПС 220 кВ В-Теи;88;220/6
ПС 220 кВ Означенное-Районная;330;220/110/35/10/6
ПС 220 кВ Сора;132,3;220/110/10
ПС 220 кВ Туим;126;220/110/10
ПС 500 кВ Абаканская;1604,5;500/220/10
ПС 500 кВ Алюминиевая;1002;500/220/10
ПС 500 кВ Означенное;1602;500/220/10
