Наименование;Установленная мощность, МВА;Классы напряжения
ПС 220 кВ Загородная;250;220/110/6
ПС 220 кВ Лузино;375;220/110/10
ПС 220 кВ Московка;500;220/110/10
ПС 220 кВ Называевская;125;220/110/10
ПС 220 кВ Ульяновская;500;220/110/10
ПС 500 кВ Восход;501;500/220/10
ПС 500 кВ Иртышская;751;500/220/110/10
