"№ п/п";"Наименование ПЦ";"Место расположения";"Год ввода в эксплуатацию/реконструкция с изменением трансформаторной мощности";"Количество и установленная мощность трансформаторов, шт.хМВА";"Общая"
95;"ПС 110/20/10 кВ Динамо";"Москва, Северный АО, Хорошевский";2005;"2х80 (РТ 2х40)";160
96;"ПС 110/10 кВ Кузьминки";"Москва, Юго-Восточный АО, Люблино";1978;"2х25";50
97;"ПС 220/110/20/10 кВ Пресня";"Москва, Центральный АО, Пресненский";2017;"2х250 (ВДТ 2х63, 2х40), 2х100";700
98;"ПС 220/10 кВ Владыкино";"Москва, Северо-Восточный АО, Отрадное";1990;"2х63";126
99;"ПС 110/10 кВ Строгино";"Москва, Северо-Западный АО, Строгино";1983;"2х63";126
100;"ПС 110/10/6 кВ Ленинградская";"Москва, Северный АО, Коптево";2014;"2х40,5";80.5
101;"ПС 110/10/6 кВ Полет";"Новая Москва, Западный АО, Внуково";1991;"2х40";80
102;"ПС 110/10/6 кВ Лианозово";"Москва, Северо-Восточный АО, Алтуфьевский";2008;"2х63";126
103;"ПС 110/10 кВ Люблино";"Москва, Юго-Восточный АО, Марьино";2015;"2х40";80
104;"ПС 110/10 кВ Москворецкая";"Москва, Южный АО, Даниловский";2009;"2х63";126
105;"ПС 110/10 кВ Крылатская";"Москва, Западный АО, Крылатское";2008;"2х63";126
106;"ПС 110/10 кВ Зубовская";"Москва, Центральный АО, Хамовники";2014;"2х80";160
107;"ПС 220/110/10 кВ Гражданская";"Москва, Северный АО, Коптево";1993;"2х250 (РТ 4х40)";500
108;"ПС 220/10 кВ Академическая";"Москва, Юго-Западный АО, Зюзино";2003;"2х63";126
109;"ПС 220/10 кВ Левобережная";"Москва, Северный АО, Ховрино";2006;"2х63";126
110;"ПС 220/10 кВ Коньково";"Москва, Юго-Западный АО, Коньково";2005;"2х63";126
111;"ПС 220/10  кВ Говорово";"Москва, Западный АО, Солнцево";2007;"3х100";300
112;"ПС 110/20 кВ МГУ";"Москва, Западный АО, Раменки";2011;"2х80";160
113;"ПС 220/110/20/10 кВ Бутово";"Новая Москва, Юго-Западный АО, Чертаново Южное";2011;"2х250 (ВДТ 4х63), 2х100";700
114;"ПС 110/10 кВ Вороново";"Новая Москва, поселение Вороновское, с.Вороново";2014;"2х25";50
115;"ПС 35/6 кВ Кокошкино";"Новая Москва, поселение Кокошкино, п.Кокошкино";1973;"2х5,6";11
116;"ПС 35/6 кВ Рязаново";"Новая Москва, поселение Рязановское, п.Рязаново";2015;"2х3,2";6
117;"ПС 110/35/6 кВ Троицкая";"Новая Москва, Троицк, г.Троицк";1979;"1х20, 1х25";45
118;"ПС 110/10 кВ Передельцы";"Новая Москва, поселение Московский, п.Московский ";2009;"2х63";126
119;"ПС 35/6 кВ Емцово";"Новая Москва, поселение Михайлово-Ярцевское, с.Михайловское";1967;"2х1, 1х3,2";5
120;"ПС 35/6 кВ Есино";"Новая Москва, поселение Щаповское,  д.Сатино-Татарское";1964;"2х3,2";6
121;"ПС 110/10 кВ Кузнецово";"Новая Москва, поселение Ново-Федоровское, д.Кузнецово";1981;"2х16";32
122;"ПС 220/110/10/6 кВ Лесная";"Новая Москва, поселение Десёновское, п. Десёновское";1988;"2х125 (РТ 2х40), 1х63";288
123;"ПС 110/10 кВ Марьино";"Новая Москва, поселение Филимоновское, д.Марьино";2013;"1х16, 1х25";41
124;"ПС 110/10/6 кВ Десна";"Новая Москва, поселение Воскресенское, д.Десна ";2009;"2х25";50
125;"ПС 35/6 кВ Молчаново";"Новая Москва, поселение Кленовское, с.Кленово";2016;"2х10";20
126;"ПС 35/6 кВ Знаменская";"Новая Москва, поселение Рязановское, п.Знамя Октября";2013;"2х6,3";12
127;"ПС 110/10/6 кВ Сырово";"Новая Москва, Щербинка, г. Щербинка";1995;"2х40";80
128;"ПС 35/10 кВ Бараново";"Новая Москва, поселение Первомайское, п.Первомайский";2006;"2х6,3";12
129;"ПС 110/10/6 кВ Теплый Стан";"Новая Москва, поселение ""Мосрентген"", п.Мосрентген";2006;"2х40, 2х80";240
130;"ПС 110/10 кВ Летово";"Новая Москва, поселение Сосненское, п.Газопровод";2010;"2х63";126
131;"ПС 110/10 кВ Щапово";"Новая Москва, поселение Щаповское, п.Щапово";2010;"2х25";50
132;"ПС 110/10 кВ Лебедево";"Новая Москва, Троицк, г.Троицк";1986;"2х25";50
133;"ПС 110/10 кВ Былово";"Новая Москва, поселение Михайлово-Ярцевское, п.Шишкин Лес";2015;"2х40";80
134;"ПС 110/35/10 кВ Леоново";"Новая Москва, поселение Михайлово-Ярцевское, ГПЗ ""Птичное""";2011;"2х40";80
135;"ПС 220/110/20/10 кВ Хованская";"Новая Москва, поселение Сосненское";2019;"2х100, 2х250";700
261;"ПС 220/110/10 кВ Красногорская";"Новая Москва, Красногорский , д.Гольево ";2004;"2х200 (РТ 6х40)";"400 (РТ 6x40)"
267;"ПС 110/10/6 кВ Апаренки";"Новая Москва, Раменский, п.Развилка";2013;"2х63";126
603;"ПС 35/10 кВ Первомайская";"Новая Москва, Наро-Фоминский, д.Афинеево";2010;"2х10";20
