№ ПС/ТП;Наименование;Установленная мощность, МВА;Классы напряжения
;ПС 35 кВ Откормбаза;2.5;35/10
;ПС 35 кВ Шевченко;1.6;35/10
;ПС 35 кВ Спортивная;4;35/10
;ПС 35 кВ Труд;4;35/10
;ПС 35 кВ Привольная;4;35/10
;ПС 35 кВ Новоминская;6.3;35/10
;ПС 35 кВ Кирова;4;35/10
;ПС 35 кВ Новодеревянковская;4;35/10
;ПС 35 кВ Раздольная;2.5;35/10
;ПС 35 кВ Челбасская;4.3;35/10
;ПС 35 кВ Сухие Челбасы;4;35/10
;ПС 35 кВ Кубанская Степь;2.5;35/10
;ПС 35 кВ Садки;2.5;35/10
;ПС 35 кВ Курчанская;2.5;35/10
;ПС 35 кВ Бриньковская;8;35/10
;ПС 35 кВ Приазовская;4;35/10
;ПС 35 кВ Рыбзавод;6.5;35/10
;ПС 35 кВ Степная;2.5;35/10
;ПС 35 кВ Возрождение;2.5;35/10
;ПС 35 кВ Бородинская;2.5;35/10
;ПС 35 кВ Лиманная;2.5;35/10
;ПС 110 кВ Новониколаевская;5;110/10
;ПС 110 кВ Гривенская;2.5;110/10
;ПС 110 кВ Гречаная Балка;2.5;110/10
;ПС 35 кВ Насосная-2;5;35/10
;ПС 35 кВ Старовеличковская;6.3;35/10
;ПС 35 кВ Насосная-7;8;35/6
;ПС 35 кВ Советская Кубань;1.6;35/6
;ПС 35 кВ Андреевская;1.6;35/10
;ПС 35 кВ Джумайловская;2.5;35/10
;ПС 35 кВ Насосная-10;12;35/10/6
;ПС 35 кВ Луговая;2.5;35/10/6
;ПС 35 кВ Гришковская;2.5;35/10
;ПС 110 кВ Переясловская;16;110/35/10
;ПС 110 кВ Новоджерелиевская;6.3;110/10
;ПС 110 кВ Тимашевская;31;110/35/10
;ПС 110 кВ Медведовская;16;110/35/10
;ПС 110 кВ Коммунар;10;110/35/10
;ПС 110 кВ Албаши;16;110/35/10
;ПС 110 кВ Челбасская;32;110/35/10
;ПС 110 кВ Газоаппарат;32;110/35/10
;ПС 110 кВ Ольгинская;10;110/35/10
;ПС 110 кВ Новонекрасовская;16;110/35/10
;ПС 110 кВ Бойко-Понура;10;110/35/10
;ПС 110 кВ Лебеди;10;110/35/10
;ПС 110 кВ Калининская;66;110/35/27,5/10
;ПС 35 кВ Колос;4;35/10
;ПС 35 кВ Рисозавод;6.3;35/10
;ПС 110 кВ Учереждение;6.3;110/10
;ПС 110 кВ Южная;80;110/10/10 
;ПС 110 кВ Адлер;50;110/10/10 
;ПС 110 кВ Кудепста;32;110/10/10 
;ПС 110 кВ Хоста;50;110/10/6 
;ПС 110 кВ Кепша;2.5;110/10 
;ПС 110 кВ Каменка;12.6;110/10 
;ПС 110 кВ Альпийская;50;110/10/6 
;ПС 110 кВ Мацеста;90;110/10/6
;ПС 110 кВ Верещагинская;50;110/10/6
;ПС 110 кВ Сочи;120;110/10/6
;ПС 110 кВ Родниковая;50;110/10/6
;ПС 110 кВ Пасечная;32;110/6 
;ПС 110 кВ Бытха;80;110/10/10 
;ПС 110 кВ Вишневая;80;110/10/6
;ПС 110 кВ Бочаров ручей;80;110/10/6
;ПС 110 кВ Терминал;80;110/10/6
;ПС 110 кВ Нор-луйс;10;110/10 
;ПС 110 кВ Лоо;20;110/10 
;ПС 110 кВ Головинка;12.6;110/10 
;ПС 110 кВ Волконка;41;110/10 
;ПС 110 кВ Аше;6.3;110/10 
;ПС 110 кВ Туапсе;32;110/6 
;ПС 110 кВ Небуг;50;110/10 
;ПС 110 кВ Ольгинка;50;110/10 
;ПС 110 кВ Новомихайловская;20;110/10 
;ПС 110 кВ Лермонтово;20;110/10 
;ПС 110 кВ Джубга;20;110/10 
;ПС 110 кВ Водозабор;9.5;110/6 
;ПС 110 кВ Лазурная;20;110/10
;ПС 110 кВ Адлер тяговая;10;110/10 
;ПС 110 кВ Дагомыс тяговая;20;110/10 
;ПС 110 кВ Якорная щель;20;110/10 
;ПС 110 кВ Лазаревская;20;110/10 
;ПС 110 кВ Магри;20;110/10 
;ПС 110 кВ Туапсе тяговая;60;110/10 
;ПС 110 кВ Кривенковская;20;110/10 
;ПС 110 кВ Гойтх;20;110/10 
;ПС 110 кВ Навагинская;20;110/10 
;ПС 110 кВ Чилипси;20;110/10 
;ПС 110 кВ Чинары;20;110/10 
;ПС 110 кВ Афпостик;20;110/10 
;ПС 110 кВ Лососевая;2.5;110/10 
;ПС 110 кВ Мостовская;42;110/35/10
;ПС 110 кВ Лабинск-1;50;110/35/10 
;ПС 110 кВ Андреедмитриевская;22.3;110/35/10 
;ПС 110 кВ Родниковская;26;110/35/10 
;ПС 110 кВ Зассовская;10;110/35/10 
;ПС 110 кВ Вознесенская;16;110/35/10 
;ПС 110 кВ Комплекс;2.5;110/10 
;ПС 110 кВ Лабинск-2;16.3;110/10 
;ПС 110 кВ Упорная;6.3;110/10 
;ПС 110 кВ Эфиронос;6.3;110/10 
;ПС 110 кВ Промышленная;26;110/10 
;ПС 110 кВ Шедок;10;110/10 
;ПС 110 кВ Псебай;20;110/10 
;ПС 35 кВ Семсовхоз;2.5;35/10 
;ПС 35 кВ Чамлык;5;35/10 
;ПС 35 кВ ЛССК;4;35/10 
;ПС 35 кВ Прохладная;6.5;35/10 
;ПС 35 кВ Ахметовская;2.5;35/10 
;ПС 35 кВ Каладжинская;2.5;35/10 
;ПС 35 кВ Садовая;2.5;35/10 
;ПС 35 кВ Откормбаза;2.5;35/10 
;ПС 35 кВ Первая Синюха;2.5;35/10 
;ПС 35 кВ Мирный;1;35/10 
;ПС 35 кВ Харьковская;1.6;35/10 
;ПС 35 кВ Экскаваторная;6.3;35/6 
;ПС 35 кВ Владимирская;4;35/10 
;ПС 35 кВ Высокая;1.6;35/10 
;ПС 35 кВ Степная;8;35/10 
;ПС 35 кВ Новоалексеевская;4;35/10 
;ПС 35 кВ Комсомольская;2.5;35/10 
;ПС 35 кВ Первомайская;2.5;35/10 
;ПС 35 кВ Водозабор;8;35/10 
;ПС 35 кВ Константиновская;2.5;35/10 
;ПС 35 кВ Кавказ;8;35/10 
;ПС 35 кВ Восточная;8;35/10 
;ПС 35 кВ Полив;4;35/10 
;ПС 35 кВ Петропавловская;4;35/10 
;ПС 35 кВ Михайловская;4;35/10 
;ПС 35 кВ МОК;2.5;35/10 
;ПС 35 кВ Воздвиженская;2.5;35/10 
;ПС 35 кВ Темиргоевская;8;35/10 
;ПС 35 кВ Унароково;2.5;35/10 
;ПС 35 кВ Костромская;1.6;35/10 
;ПС 35 кВ Ярославская;12.6;35/10 
;ПС 35 кВ Красный Кут;2.5;35/10 
;ПС 35 кВ Переправная;2.5;35/10 
;ПС 35 кВ Беноково;2.5;35/10 
;ПС 35 кВ Бесленеевская;2.5;35/10 
;ПС 35 кВ Губская;1.6;35/10 
;ПС 110 кВ Курганная;70;110/35/27,5/10 
;ПС 35 кВ Строительная;5;35/10 
;ПС 110 кВ Аэропорт;80;110/10/10
;ПС 110 кВ Водозабор;32;110/35/10
;ПС 110 кВ Восточная;80;110/10/6
;ПС 110 кВ ВНИИРис;32;110/35/10/6
;ПС 110 кВ Дальняя;20;110/35/6
;ПС 110 кВ Западная-2;112;110/35/10/6
;ПС 110 кВ Кислородный з-д;32;110/6
;ПС 110 кВ Лорис;65;110/35/10
;ПС 110 кВ Набережная;80;110/10
;ПС 110 кВ ОБД;26;110/10
;ПС 110 кВ Парфюмерная;32;110/6
;ПС 110 кВ Почтовая;60;110/10
;ПС 110 кВ Пашковская;50;110/10
;ПС 110 кВ ПТФ;10;110/10
;ПС 110 кВ РИП;65;110/10/6
;ПС 110 кВ Северо-Восточная;80;110/10/6
;ПС 110 кВ Северная;80;110/35/6
;ПС 110 кВ Тургеневская;80;110/10
;ПС 110 кВ ХБК;120;110/10/6
;ПС 110 кВ Южная;105;110/35/6
;ПС 110 кВ Юго- Восточная;26;110/6
;ПС 110 кВ Юго- Западная;80;110/10
;ПС 110 кВ Военгородок;80;110/10
;ПС 35 кВ Биофабрика;6.3;35/10
;ПС 35 кВ Военгородок;8;35/10
;ПС 35 кВ КНИИСХ;20;35/10
;ПС 35 кВ Калинино;20;35/10
;ПС 35 кВ НС-8;10.3000001907349;35/10/6
;ПС 35 кВ НС-11;2.5;35/6
;ПС 35 кВ НС-12;2.5;35/6
;ПС 35 кВ Путевая;20;35/6
;ПС 35 кВ Правый берег;11.8999996185303;35/10
;ПС 35 кВ ЦЕНТРАЛЬНАЯ;38.5;35/6
;ПС 35 кВ Хутор Ленина;12.6000003814697;35/10
;ПС 110 кВ Динская;50;110/35/10
;ПС 35 кВ Агроном-I;6.3;35/10
;ПС 35 кВ Агроном-II;5;35/10
;ПС 35 кВ Динская;10.3000001907349;35/10
;ПС 35 кВ Воронцовская;4;35/10
;ПС 35 кВ Васюринская;8;35/10
;ПС 35 кВ ЖБИ;6.3;35/10
;ПС 35 кВ Кочеты;5;35/10
;ПС 35 кВ Новотитаровская;10.3000001907349;35/10
;ПС 35 кВ Титаровская;4;35/10
;ПС 35 кВ Старомышастовская;8;35/10
;ПС 35 кВ НС-10;2.5;35/6
;ПС 35 кВ НС-19;5;35/10/6
;ПС 110 кВ Нововеличковская;42;110/35/10/6
;ПС 35 кВ Пластуновская;8;35/10
;ПС 110 кВ Мартанская;20;110/35/10
;ПС 35 кВ Бакинская;12.6000003814697;35/10
;ПС 35 кВ Горячий ключ;16;35/10
;ПС 35 кВ Саратовская;8;35/10
;ПС 110 кВ Афипская;78.9;110/35/6
;ПС 110 кВ Ильская;32;110/35/10
;ПС 110 кВ Северская;32;110/35/10
;ПС 35 кВ Смоленская;8;35/10
;ПС 35 кВ Сельхозтехника;16.3;35/10
;ПС 35 кВ Красная;5;35/10
;ПС 35 кВ Львовская;4;35/10
;ПС 35 кВ Михайловская;2.5;35/10
;ПС 35 кВ Новоивановская;2.5;35/10
;ПС 110 кВ Октябрьская;16;110/35/10
;ПС 110 кВ ИКЕЯ;50;110/10
;ПС 110 кВ Термнефть;32;110/10
;ПС 35 кВ Восход;2.5;35/10
;ПС 35 кВ Керамзитовый з-д;5;35/10
;ПС 35 кВ Хакурате;2.5;35/10
;ПС 35 кВ Хомуты;10.3000001907349;35/6
;ПС 35 кВ Энем;11.1999998092651;35/10
;ПС 35 кВ Шапсуг;20;35/10
;ПС 110 кВ Адыгейская;32;110/35/10
;ПС 110 кВ Водохранилище;32.6;110/35/10
;ПС 35 кВ Адыгейская;8;35/10
;ПС 35 кВ Заря;2.5;35/10
;ПС 35 кВ НС-15;6.5;35/10/6
