Наименование объекта центра питания, класс напряжения;Год ввода/Год реконструкции (при изменении установленной мощности) ;Установленная мощность трансформаторов;Широта;Долгота
ПС 35/10 Надейка;1989;2.5;51.7504607482015;34.6023001358311
ПС 35/10 Нива;1983;2.5;51.2438930755771;36.8379185824717
ПС 35/10 Ольговка;1991;2.5;51.4051337241577;35.0066700882421
ПС 35/10 Ольховатка;1991;4;52.2579655056124;36.1372734821832
ПС 35/10 Оросительная;1974;4;51.7093976595209;36.0664090493016
ПС 35/10 Пены-2;1976;2.5;51.6897707901663;35.9071410188745
ПС 35/10 Переступлино (стар);1964;2.5;51.7928905051943;34.7411436171268
ПС 35/10 Переступлино (нов);1994;2.5;51.7935127763999;34.7500396034276
ПС 35/10 Петрово;1975;6.3;51.8896852702056;37.2112590252208
ПС 35/10 Петровская;1990;2.5;51.8385044421051;34.8671139575132
ПС 35/10 Покровское;1979;2.5;51.8122719557731;37.252314272285
ПС 35/10 Прилепы;1971;1.6;51.5541884568352;37.3287347170828
ПС 35/10 Р. Буды 35/10;1965;4;51.1895144509445;35.9646694755118
ПС 35/10 Реут;1970;2.5;52.1786465985313;35.754406099014
ПС 35/10 Ровенка;1986;1.6;51.4311630682911;38.0425129365878
ПС 35/10 Родина (СЭС);1988;2.5;51.8666535782026;37.7006041109986
ПС 35/10 Родина (ВЭС);1979;4;51.8990030428493;35.7681700416972
ПС 35/10 Рубанщина;1988;2.5;51.1913714454395;35.1737080961646
ПС 35/10 Русаново;1983;1.6;51.9139482198723;37.077014041129
ПС 35/10 Рышково;1987;2.5;52.1706387481776;35.4497400190178
ПС 35/10 Рязаново;1992;1.6;51.508032195954;35.5999517927783
ПС 35/10 Сазановка;1969;2.5;51.323384111669;36.9336589936218
ПС 35/10 Сергиевка;1976;2.5;52.0575957440516;36.1573402687466
ПС 35/10 Соколье;1988;2.5;51.4201818895943;36.7402032607112
ПС 35/10 Солнцево;1994;2.5;51.4201818895943;36.7402032607112
ПС 35/10 Спасское;1986;1.6;51.4533725384926;35.929075335066
ПС 35/10 Ср. Ольшанка;1991;4;51.1636615282689;36.5796965657824
ПС 35/10 Стрелецкая;1966;2.5;51.5751173994958;36.0685807121279
ПС 35/10 Субботино;1980;2.5;51.4360881433677;36.8773835117931
ПС 35/10 Сухая;1986;1.6;51.4469926481546;34.6110783449452
ПС 35/10 Тельмана;1975;2.5;51.5197775888568;35.0123594950311
ПС 35/10 Н.Теребуж;1967;2.5;52.0765002491386;36.6968802705321
ПС 35/10 Фатеевка;1989;2.5;52.0698527782118;34.8928942743813
ПС 35/10 Чапаевская;1980;2.5;52.0628609766014;36.4744934071234
ПС 35/10 Чемерки;1987;1.6;52.2873404945432;34.9840805353892
ПС 35/10 Чижовка;1979;1.6;51.9845229094292;36.6886294323616
ПС 35/10 Шатиловка;1991;2.5;51.7939922623611;37.5383846627529
ПС 35/10 Шептуховка;1990;2.5;51.4470212882113;35.1694259133439
ПС 35/10 Шуклино;1976;2.5;51.9759046546112;35.6762452682451
ПС 35/10 Яньково;1983;1.6;51.6183886042505;34.5967297267186
ПС 35/10 Ясенки;1989;6.3;51.5543264748805;38.1855477677358
ПС 110/6 Аккумуляторная;1992;50;51.6691019704241;36.1150170826014
ПС 110/10 АРЗ;1975;16.3;51.5478758431522;34.7419720370494
ПС 110/35/10 Атомград;1997;50;51.659053621109;35.691721857474
ПС 110/10 Б. Жирово;1968;12.6;51.9615060813174;35.9562291733717
ПС 110/35/10 Басово;1982;15.6;51.7586026120768;36.6732781659335
ПС 110/10 Бекетово;1971;12.6;51.4384110823657;37.8814161407642
ПС 110/35/10 Белая;1970;32;51.0441250845961;35.7459005021545
ПС 110/35/10 Бобрышово;1972;12.6;51.2179955995032;36.4379680510874
ПС 35/10 Быково;1980;12.6;51.6255712703625;37.7297931844477
ПС 110/10 Возрождение;2014;20;51.31277;36.55478
ПС 110/10 Винниково;1987;8.8;51.8006834231989;36.4833140519222
ПС 110/35/6 Волокно;1965;121;51.6579986282727;36.063440549013
ПС 110/10 Высокая;1970;32;51.7561657992396;36.205845429398
ПС 110/35/10 Глушково;1978;20;51.352865760965;34.6151704346585
ПС 110/10 Городская;1989;50;51.7115321303788;36.1527296212814
ПС 110/35/10 Горшечное;1966;50;51.52393770919;38.0042135501322
ПС 110/35/10 Дмитриев;1959;20;52.1466366357473;35.0730376894161
ПС 110/6 Долгие Буды;1974;20;51.1568294908738;35.7890545724429
ПС 110/35/10 Золотухино;1973;50;52.0907686856294;36.3944849125236
ПС 110/35/10 Камыши;1982;12.6;51.808169903059;36.2718417285531
ПС 110/35/10 Касторное;1965;31;51.7637475177896;38.1088086241739
ПС 110/35/10 Киликино;1987;32;52.2168354520192;35.1655360653296
ПС 110/35/6 Кировская;1971;80;51.7487495079275;36.2535008423232
ПС 110/35/10 Клюква;1993;32;51.718500191951;36.3310701592709
ПС 110/10 Компрессорная;1985;80;51.4879096919121;36.0979986657308
ПС 110/35/10 Конышевка;1978;26;51.8330050058454;35.3055230669735
ПС 110/10 Котельная;1990;35;51.7613509727253;36.1444825965514
ПС 110/35/10 Кшень;1966;20;51.8301834769578;37.6711760469616
ПС 110/6 Лесная;1989;80;51.7211511187425;36.2771584953701
ПС 110/35/10 Льгов;1967;50;51.6659562667618;35.2728431872137
ПС 110/35/10 Лукашевка;1968;32;51.6626078889923;35.6093286496802
ПС 110/35/10 Любостань;1979;16.3;51.3758278896481;35.6790391378114
ПС 110/35/6 Мантурово;1977;32;51.4276088966338;37.12597413245
ПС 110/35/10 8-е Марта;1981;16.3;51.2974103008651;35.0158409498398
ПС 110/10 Мартовская;1984;12.6;52.3050571479938;35.5532779113232
ПС 110/35/10 Марьино;1971;35;51.5840871624968;34.9803730922509
ПС 110/35/10 Медвенка;1977;20;51.4357371624177;36.0986757436848
ПС 110/6 Нефтяная;1977;20;51.8175351355075;38.0498685147162
ПС 110/35/10 Обоянь;1964;41;51.2149147142309;36.3067865355109
ПС 110/35/10 Октябрьская;1975;32;51.6572737128648;35.9774190549975
ПС 110/35/10 Ольховка;1980;12.6;51.8370795377473;34.619446701407
ПС 110/10 Паники;1988;5;51.3809568786593;36.1761956659117
ПС 110/35/10 Пены;1962;32;51.6039594007625;35.4867170640332
ПС 110/10 Прибор;1977;50;51.7386358195988;36.1468474475241
ПС 110/10 Прогресс;1990;126;51.5029244304884;36.0746588042008
ПС 110/10 ПТФ;1975;16.3;51.6175602326134;36.0351596050034
ПС 110/35/10 Р. Буды;1981;20;51.1895144509445;35.9646694755118
ПС 110/35/10 Разиньково;1978;16.3;51.8511869952654;35.9183661546501
ПС 110/10 Родники;2011;50;51.7111778343612;36.1485142080289
ПС 110/35/6 Рудная;1959;63;52.3449362338865;35.4049442523816
ПС 110/35/10 Рыльск;1975;41;51.5719249753848;34.6582123588236
ПС 110/10 Соловьиная;1975;50;51.7052569624078;36.1717002100172
ПС 110/10 СТК;1979;20;52.4107844804414;35.536677473387
ПС 110/10 Студенок;1981;12.6;52.3675430478103;35.2927244149593
ПС 110/35/10 Суджа;1964;50;51.1858197659415;35.3212691034076
ПС 110/35/10 Счетмаш;1990;50;51.7575683847526;36.1256952289822
ПС 110/6 Тепличная;1990;50;51.6416007065533;36.1238171803573
ПС 110/35/10 Теткино;1970;20;51.2771610373296;34.3005840669667
ПС 110/35/10 Тим;1977;22.3;51.6367634369537;37.1169570941023
ПС 110/35/10 Уютное;1974;26;52.0451570729966;34.8035993776665
ПС 110/35/10 Фатеж;1962;32;52.1007751998785;35.8371606399655
ПС 110/35/10 Фосфоритная;1968;50;51.859027096446;36.9829883177561
ПС 110/35/10 Хомутовка;1962;17.5;51.9392426930022;34.5547634289197
ПС 110/10 Центральная;2008;80;51.7342513041838;36.1895293564499
ПС 110/35/10 Черемисиново;1967;32;51.8714043284584;37.255061375606
ПС 110/35/10 Черемошки;1977;12.6;51.5246577484781;35.261675083488
ПС 110/35/10 Шумаково;1974;20;51.4931211209917;36.6529138465105
ПС 110/35/10 Щигры;1968;50;51.8849833876919;36.8990647948711
ПС 110/35/10 Ястребовка;1973;17.5;51.4588625787213;37.5501029764789
ПС 35/10 Амосовка;1975;5;51.6067928836813;36.2909646144491
ПС 35/10 Афанасьевка (ЮЭС);1969;4.1;51.5885984348644;36.7930812016281
ПС 35/10 Б.Солдатское 2;1982;8;51.3069250442844;35.494906429024
ПС 35/10 Б.Змеинец;1987;3.2;52.0876362625646;36.8650322908226
ПС 35/10 Безлесная;1975;8;51.5217223130636;36.17167489134
