Наименование объекта центра питания, класс напряжения;Год ввода/Год реконструкции (при изменении установленной мощности) ;Установленная мощность трансформаторов;Широта;Долгота
ПС 35/10 Аниково ;1967;5;58.7612444444444;39.3752222222222
ПС 35/10 Новое село ;1993;5;57.7052722222222;38.8011444444444
ПС 35/10 Большое село ;1973;12.6;57.7298638888889;38.9516055555556
ПС 35/10 Брейтово ;1965;12.6;58.2902888888889;37.8714583333333
ПС 35/10  Станилово ;1988;3.2;58.0128916666667;37.8708277777778
ПС 35/10 Знамово ;1975;5;57.9784388888889;39.1168277777778
ПС 35/10 Рождествено ;1990;5;57.3717861111111;40.3996805555556
ПС 35/10 Заполье ;1978;5;57.9306305555556;38.7996333333333
ПС 35/10 Тихменево ;1970;3.2;57.9847916666667;38.6159916666667
ПС 35/10 Лацкое ;1993;4.1;58.0700027777778;38.1122222222222
ПС 35/10  Борок ;1973;6.5;58.0595916666667;38.2285416666667
ПС 35/10 Мышкин ;1960;12.6;57.7834277777778;38.4371694444444
ПС 110/10 Волга ;1962;11.9;57.9486083333333;38.3794916666667
ПС 35/10 Красная Горка ;1982;6.5;57.9855861111111;38.8617055555556
ПС 110/35/6 Восточная ;1934;50;58.032025;38.8992388888889
ПС 110/35/10  Залесье ;1980;20;57.9577666666667;39.21015
ПС 110/10 Луговая ;1977;12.6;58.0006527777778;39.0083416666667
ПС 110/35/10  Лом ;1970;20;57.8764777777778;39.1561361111111
ПС 35/10 Варегово ;1976;4.1;57.7871666666667;39.2688222222222
ПС 35/6 Варегово;1976;1.6;57.7871666666667;39.2688222222222
ПС 110/35/10 Шестихино ;1959;20;57.9287166666667;38.2506833333333
ПС 110/35/10 Крюково;1988;6.3;57.8423416666667;38.2530194444444
ПС 35/10 Белое;1968;2.5;58.3847833333333;39.3802416666667
ПС 110/35/10 Глебово;1976;20;57.9912194444444;38.4608861111111
ПС 35/6 Песочное;1937;5.8;58.0037972222222;39.1803638888889
ПС 35/10 Демино;2010;5;58.0392444444444;39.1075583333333
ПС 110/6 КС-18 ;1971;126;57.8267055555556;38.429425
ПС 35/6 Мокеиха;1968;1.6;57.9395694444444;37.4024666666667
ПС 35/10 Ермаково;1968;1.6;58.6061111111111;38.6931222222222
ПС 35/10 Милюшино;1978;1.6;58.2709138888889;38.8553527777778
ПС 35/10 Сутка;1975;2.5;58.3379166666667;37.5527888888889
ПС 35/10 Сить;1981;1.6;58.1761111111111;37.827825
ПС 35/10 Горелово;1984;1.6;58.2324305555556;38.1049972222222
ПС 110/10кВ Палкино;1982;50;57.441528;38.235068
