Наименование;Установленная мощность, МВА;Классы напряжения
ПС 220 кВ Александров;346,5;220/110/35/6
ПС 220 кВ Вязники;188;220/110/35/6
ПС 220 кВ № 183 Дальняя;205;220/110/35/6
ПС 220 кВ Заря;652;220/110/10
ПС 220 кВ Районная;884,4;220/110/6
ПС 220 кВ Стекловолокно;266;220/110/6
ПС 750 кВ Владимирская;4004;750/500/220/110/35/10
