Наименование;Установленная мощность, МВА;Классы напряжения
ПС 330 кВ Железногорская;1680;330/220/110
ПС 330 кВ Курская;400;330/110/10
ПС 330 кВ Садовая;450;330/110/35/10
ПС 330 кВ Южная;2451;330/110/35
