N;Name;Voltage;Rate;Operator;StartDate
;ПС Ш-38;"110000;10000";;ЗЭС;
;ПС Ш-42;"110000;10000";;ЗЭС;
;ПС Ш-43;"110000;6000";;ЗЭС;
;ПС Ш-44;"110000;35000;6000";;ЗЭС;
;ПС Ш-46;"110000;6000";;ЗЭС;
;ПС Ш-47;"110000;10000";;ЗЭС;
;ПС Ш-49;"110000;10000";;ЗЭС;
;ПС Центральная;"110000;35000;6000";;ВЭС;
;ПС Обливная;"110000;35000;6000";;ВЭС;
;ПС Василевская;"110000;35000;10000";;ВЭС;
;ПС Добровольская;"110000;35000;6000";;ВЭС;
;ПС Северный Портал;"110000;35000;6000";;ВЭС;
;ПС НС-1;"110000;6000";;ВЭС;
;ПС НС-2;"110000;6000";;ВЭС;
;ПС Приволенская;"110000;10000";;ВЭС;
;ПС Глубокинская;"110000;10000";;ВЭС;
;ПС Большовская;"110000;35000;10000";;ВЭС;
;ПС Конзаводская;"110000;10000";;ВЭС;
;ПС Константиновская;"110000;35000;10000";;ВЭС;
;ПС Заветинская;"110000;35000;10000";;ВЭС;
;ПС Дружба;"110000;10000";;ВЭС;
;ПС Мартыновская;"110000;35000;10000";;ВЭС;
;ПС Хуторская;"110000;35000;10000";;ВЭС;
;ПС НС-9;"110000;35000;6000";;ВЭС;
;ПС Дубенцовская;"110000;35000;10000";;ВЭС;
;ПС НС-3;"110000;35000;6000";;ВЭС;
;ПС НС-6;"110000;6000";;ВЭС;
;ПС Комаровская;"110000;35000;10000";;ВЭС;
;ПС Октябрьская;"110000;10000;6000";;ВЭС;
;ПС Большеремонтненская;"110000;10000";;ВЭС;
;ПС Ремонтненская;"110000;35000;10000";;ВЭС;
;ПС Дубовская;"110000;35000;10000";;ВЭС;
;ПС Цимлянская;"110000;35000;10000";;ВЭС;
;ПС Денисовская;"110000;10000";;ВЭС;
;ПС Богородская;"110000;10000";;ВЭС;
;ПС КГУ;"110000;35000;10000";;ВЭС;
;ПС ВПТФ;"110000;10000";;ВЭС;
;ПС Искра;"110000;10000";;ВЭС;
;ПС Шебалинская;"110000;35000;10000";;ВЭС;
;ПС Несмеяновская;"110000;10000";;ВЭС;
;ПС Вербовая;"110000;10000";;ВЭС;
;ПС Харьковская;"110000;35000;10000";;ВЭС;
;ПС Малая Лучка;"110000;10000";;ВЭС;
;ПС Овцевод;"110000;35000;10000";;ВЭС;
;ПС Харсеевская;"110000;6000";;ВЭС;
;ПС Жуковская;"110000;10000;6000";;ВЭС;
;ПС Черкассы;"110000;35000;10000";;ВЭС;
;ПС Наримановская;"110000;10000";;ВЭС;
;ПС Стычная;"110000;35000;10000";;ВЭС;
;ПС Егорлыкская;"110000;35000;10000";;ЮЭС;
;ПС Роговская;"110000;35000;10000";;ЮЭС;
;ПС Балкогрузская;"110000;35000;10000";;ЮЭС;
;ПС А-1;"110000;35000;6000";;ЮЭС;
;ПС А-25;"110000;6000";;ЮЭС;
;ПС А-26 Кока-кола;"110000;10000";;ЮЭС;
;ПС А-31;"110000;35000;10000";;ЮЭС;
;ПС А-32;"110000;35000;10000";;ЮЭС;
;ПС НС-1;"110000;10000;6000";;ЮЭС;
;ПС НС-2;"110000;10000;6000";;ЮЭС;
;ПС НС-3;"110000;35000;10000;6000";;ЮЭС;
;ПС Самарская;"110000;35000;10000";;ЮЭС;
;ПС А-12;"110000;10000";;ЮЭС;
;ПС ЗР-10;"110000;10000";;ЮЭС;
;ПС ЗР-14;"110000;35000;10000";;ЮЭС;
;ПС ЗР-15;"110000;10000";;ЮЭС;
;ПС ЗР-3;"110000;10000";;ЮЭС;
;ПС Манычская;"110000;10000";;ЮЭС;
;ПС Краснолучинская;"110000;35000;10000";;ЮЭС;
;ПС Полячки;"110000;10000";;ЮЭС;
;ПС Звонкая-110;"110000;35000;10000";;ЮЭС;
;ПС БОС;"110000;10000";;ЮЭС;
;ПС Юбилейная-110;"110000;35000;10000";;ЮЭС;
;ПС Алексеевская;"110000;35000;10000";;ЮЗЭС;
;ПС Дарагановская;"110000;35000;10000";;ЮЗЭС;
;ПС Ефремовская;"110000;10000";;ЮЗЭС;
;ПС Искра;"110000;10000";;ЮЗЭС;
;ПС Латоновская;"110000;35000;10000";;ЮЗЭС;
;ПС Лиманная;"110000;10000";;ЮЗЭС;
;ПС Некрасовская;"110000;10000";;ЮЗЭС;
;ПС Новиковская;"110000;35000;10000";;ЮЗЭС;
;ПС Носовская;"110000;10000";;ЮЗЭС;
;ПС Отрадненская;"110000;10000";;ЮЗЭС;
;ПС Очистные сооружения-1;"110000;35000;6000";;ЮЗЭС;
;ПС Рябиновская;"110000;35000;10000";;ЮЗЭС;
;ПС Самбек;"110000;10000";;ЮЗЭС;
;ПС Синявская;"110000;35000;10000";;ЮЗЭС;
;ПС Т-1;"110000;35000;6000";;ЮЗЭС;
;ПС Сохрановская;"110000;35000;10000";;СЭС;
;ПС Т-11;"110000;35000;6000";;ЮЗЭС;
;ПС Т-13;"110000;35000;6000";;ЮЗЭС;
;ПС Троицкая-1;"110000;35000;10000";;ЮЗЭС;
;ПС Т-17;"110000;6000";;ЮЗЭС;
;ПС Т-24;"110000;35000;6000";;ЮЗЭС;
;ПС Т-25;"110000;35000;6000";;ЮЗЭС;
;ПС Т-26;"110000;10000";;ЮЗЭС;
;ПС Т-27;"110000;10000";;ЮЗЭС;
;ПС Т-5;"110000;6000";;ЮЗЭС;
;ПС Т-9;"110000;6000";;ЮЗЭС;
;ПС Федоровская;"110000;35000;10000";;ЮЗЭС;
;ПС Чалтырь2;"110000;35000;10000";;ЮЗЭС;
;ПС Тарасовская;"110000;35000;10000";;СВЭС;
;ПС Чеботовская;"110000;35000;10000";;СВЭС;
;ПС Б-4;"110000;35000;10000";;СВЭС;
;ПС ЗИВ;"110000;6000";;СВЭС;
;ПС Волченская ПТФ;"110000;10000";;СВЭС;
;ПС Гундоровская;"110000;35000;6000";;СВЭС;
;ПС К-10;"110000;35000;6000";;СВЭС;
;ПС К-4;"110000;35000;10000;6000";;СВЭС;
;ПС Б-1;"110000;35000;6000";;СВЭС;
;ПС Б-3;"110000;35000;10000";;СВЭС;
;ПС Б-5;"110000;35000;6000";;СВЭС;
;ПС Богатовская ПТФ;"110000;10000";;СВЭС;
;ПС Г.Калитвенская;"110000;10000";;СВЭС;
;ПС Б-2;"110000;35000;6000";;СВЭС;
;ПС Б-8;"110000;35000;6000";;СВЭС;
;ПС Б-12;"110000;35000;6000";;СВЭС;
;ПС Б-11;"110000;35000;10000";;СВЭС;
;ПС Милютинская;"110000;35000;10000";;СВЭС;
;ПС Обливская ПТФ;"110000;35000;10000";;СВЭС;
;ПС Обливская 1;"110000;35000;10000";;СВЭС;
;ПС Советская 2;"110000;35000;10000";;СВЭС;
;ПС АРЗ;"110000;35000;10000";;ЮВЭС;
;ПС Волочаевская;"110000;35000;10000";;ЮВЭС;
;ПС Ганчуковская;"110000;35000;10000";;ЮВЭС;
;ПС Екатериновская;"110000;35000;6000";;ЮВЭС;
;ПС Куберле 2;"110000;35000;10000";;ЮВЭС;
;ПС НС-1;"110000;35000;6000";;ЮВЭС;
;ПС Орловская;"110000;35000;10000";;ЮВЭС;
;ПС Пролетарская;"110000;35000;10000";;ЮВЭС;
;ПС Развиленская;"110000;35000;10000";;ЮВЭС;
;ПС Сандатовская;"110000;35000;10000";;ЮВЭС;
;ПС Трубецкая;"110000;35000;10000";;ЮВЭС;
;ПС Уютная;"110000;10000";;ЮВЭС;
;ПС Черкесская;"110000;10000";;ЮВЭС;
;ПС Целинская;"110000;35000;10000";;ЮВЭС;
;ПС Ал. Лозовская;"110000;35000;10000";;СЭС;
;ПС В.Свечниковская;"110000;35000;10000";;СЭС;
;ПС Вешенская 1;"110000;35000;10000";;СЭС;
;ПС ГОК;"110000;35000;10000";;СЭС;
;ПС Дегтевская;"110000;10000";;СЭС;
;ПС Индустрия;"110000;35000;10000";;СЭС;
;ПС Казанская;"110000;35000;10000";;СЭС;
;ПС Калининская;"110000;35000;10000";;СЭС;
;ПС Каргинская;"110000;35000;10000";;СЭС;
;ПС Кашарская;"110000;35000;10000";;СЭС;
;ПС Колодезянская;"110000;35000;10000";;СЭС;
;ПС Макеевская;"110000;10000";;СЭС;
;ПС Маяк;"110000;35000;10000";;СЭС;
;ПС Миллеровская;"110000;10000";;СЭС;
;ПС Новоселовская;"110000;10000";;СЭС;
;ПС НС-3;"110000;35000;10000";;СЭС;
;ПС Промзона;"110000;10000";;СЭС;
;ПС Тиховская;"110000;35000;10000";;СЭС;
;ПС Туриловская;"110000;10000";;СЭС;
;ПС Чертковская;"110000;35000;10000";;СЭС;
;ПС Сулин;"110000;35000;10000";;СЭС;
;ПС Спортивная (строящийся ЦП);"110000;10000";;ЦЭС;
;КПО;"110000;10000";;Донэнерго;
;Синегорская;"110000;35000;6000";;Донэнерго;
