Наименование объекта центра питания, класс напряжения;Год ввода/Год реконструкции (при изменении установленной мощности) ;Установленная мощность трансформаторов;Широта;Долгота
ПС 35/10 кВ  Шепино ;1985;5;53.0891932896085;36.276461861484
ПС 35/10 кВ  Башкатово;1970;1.6;53.1719592704564;36.2639734433819
ПС 35/10 кВ Апальково;1997;3.6;53.2430099147954;36.2290452010835
ПС 110/35/10 кВ Куликовская ;1980;20;52.9540060807375;36.2187441709117
ПС 35/10 кВ  Ловчиково ;1989;5;52.5029712799815;36.2186099641276
ПС 35/10 кВ Фатнево;1979;2.6;53.479942363516;36.2115522265153
ПС 35/10 кВ  Козьминская ;1990;1.6;52.6498381837765;36.192577925871
ПС 110/10 кВ Володарская ;1990;8.8;53.0373874959694;36.1762822907341
ПС 35/10 кВ  Сеньково ;1989;1.6;52.4228009672645;36.1649710340087
ПС 110/10/6 кВ Юго-Восточная ;1982;50;52.9521952437481;36.1514639547877
ПС 110/10 кВ Восточная;1968;40;53.0000111722597;36.1402989858138
ПС 110/6 кВ Железнодорожная ;1961;32;52.9472880053743;36.1146719382457
ПС 110/10/6 кВ Центральная ;1978;50;52.9827662344245;36.0827903359383
ПС 110/6 кВ Заводская ;1984;65;52.9351125194182;36.0726078613907
ПС 35/10 кВ  Нижняя Слобода ;1968;8.1;52.4898781874473;36.0634283041539
ПС 35/10 кВ  Путимец ;2001;5;52.7529699089016;36.0597020070408
ПС 35/10 кВ Краснознаменка;1980;5;53.3090179832212;36.0551560169221
ПС 110/35/10/6 кВ Советская ;1959;105;52.9882882076365;36.0504177151699
ПС 35/10 кВ  Никольская ;1969;2.5;52.6574047044428;36.0452460757619
ПС 110/10/6 кВ Западная ;1964,2010;126;52.9536946313057;36.0280865601157
ПС 110/6 кВ Химмаш;1979;50;52.9154503461163;36.0029844270039
ПС 110/10 кВ Южная ;1975;20;52.8916899449838;35.9900686972737
ПС 110/35/10 кВ Болхов;1961;20;53.434825496356;35.9844958743294
ПС 35/10 кВ Воронец ;1986;2.5;52.4094662339787;35.9841716149208
ПС 35/10 кВ  Стрелецкая;1978;8;53.0096052536729;35.9829737402085
ПС 35/10 кВ Биофабрика ;1957;12.6;52.9992085904212;35.9710951760716
ПС 35/10 кВ  Жиляевская ;1967;3.6;53.2093756325179;35.9671804817082
ПС 35/10 кВ Гнездилово;1977;1.6;53.5299503821281;35.9251336064203
ПС 35/10 кВ Звягинки ;1979;5;52.9568536121466;35.9194819749666
ПС 110/10 кВ Альшанская ;1979;20;52.8733635546687;35.9152567776718
ПС 35/10 кВ Бакланово ;1982;3.2;53.1107520934857;35.8871719000783
ПС 110/35/10 кВ Шахово ;1972;20;52.7554324454142;35.8552588113626
ПС 110/10 кВ  Б.Чернь;1993;2.5;53.3499706791394;35.8450095286741
ПС 35/10 кВ Атяевская ;1975;4.1;52.6569643177535;35.8185932655097
ПС 35/10 кВ Вязовое;1982;5;53.49244003297;35.8051889585712
ПС 35/10кВ Хлебопродукты;1985, 2000;11.9;52.6720843425749;35.8026806790345
ПС 35/10 кВ  Красноармейская ;1976;5;52.3684280758001;35.7966592136797
ПС 35/10 кВ Тросна ;1958;8.8;52.4493631355675;35.7704335064368
ПС 110/35/10 кВ Нарышкинская ;1974;20;52.9683108661517;35.766953351209
ПС 110/35/10 кВ Тросна ;1982;16;52.4409537935103;35.766929886325
ПС 35/10 кВ  Гостомль ;1980;2.5;52.5590963014099;35.7650733408123
ПС 110/35/10 кВ Кромская ;1960, 1968;32;52.6849689518526;35.7496179150978
ПС 110/35/10 кВ Знаменская;1977;20;53.2708481245379;35.7004086929916
ПС 35/10 кВ  Парамоново ;1978;1.8;53.1615896880864;35.695044459236
ПС 35/10 кВ  Коптево;1992;1.6;53.3724173123091;35.6595636533202
ПС 35/10 кВ Алмазово ;1983;2.5;52.8253886682548;35.5957442840183
ПС 35/10 кВ  Кутафино ;1990;12.6;52.6254684557644;35.5911848739932
ПС 35/10 кВ Узкое;1992;2.6;53.3413676048653;35.5735579173687
ПС 35/10 кВ Архангельская ;1983;5;52.9750561353204;35.5717734826616
ПС 35/10 кВ  Ильинская;1970;5.7;53.2444564990012;35.4293157880231
ПС 35/10 кВ  Рыжково ;1991;5;52.6730879693407;35.4275233215171
ПС 35/10 кВ  Лубянская ;1961, 1970;2.6;52.5641925482459;35.4095387568692
ПС 35/10 кВ Хотынецкая ;1964;6.5;53.1228177372764;35.4081383595063
ПС 35/10 кВ  Хотьково ;1978;3.2;52.9057871222592;35.3941512336462
ПС 35/10 кВ  Сосковская ;1964;8;52.7424897076125;35.3674137264792
ПС 110/35/10 кВ Богородицкая ;1982;20;53.0598565694564;35.3624839335691
ПС 35/10 кВ  Юрьево ;1981;2.5;53.1510034537776;35.2498553494026
ПС 35/10 кВ Шаблыкино ;1959;5.6;52.8620038340845;35.1953883958704
ПС 110/35/10 кВ Шаблыкино ;1980;12.6;52.8668841496037;35.1867844806279
ПС 110/35/10 кВ Дмитровская ;1972;20;52.506283744652;35.1758904145964
ПС 35/10 кВ  Девятино ;1979;1.6;52.391142559312;35.0216701452317
ПС 35/10 кВ  Сомово ;1985;2.5;52.8519545028139;34.9741287837898
