№ п/п;Наименование центра питания;Установленная мощность, МВА
138;ПС 110/6 кВ Центральная-3 ;80
139;ПС 110/35/10 кВ Челно-Вершинская ;35
140;ПС 35/10 кВ Чёрновка ;6.3
141;ПС 35/10 кВ Черный Ключ ;6.3
142;ПС 110/35/10 кВ Шенталинская ;32
143;ПС 35/10 кВ Шилан ;2.5
144;ПС 35/6 кВ ГНС;12.6
145;ПС 35/6 кВ насосная-1;4
146;ПС 35/6 кВ насосная-2;4
147;ПС 35/6 кВ насосная-3;2.5
148;ПС 35/6 кВ насосная-5;4
149;ПС 35/6 кВ насосная-6;3.2
150;ПС 35/6 кВ насосная-7;6.3
151;ПС 110/35/10 кВ Александровка ;32
152;ПС 35/10 кВ Балашейка ;9.5
153;ПС 110/35/10 кВ Белозерки;12.6
154;ПС 35/10 кВ Береговая ;6.5
155;ПС 35/6 кВ Больничная ;32
156;ПС 35/6 кВ Большевик ;12.6
157;ПС 35/6 кВ Бытовая;4
158;ПС 110/6 кВ Восточная ;50
159;ПС 35/10 кВ Выползово ;4
160;ПС 35/10 кВ Гибридный центр ;20
161;ПС 110/6 кВ Город-1 ;40
162;ПС 35/10 кВ Город-2 ;32
163;ПС 110/35/6 кВ Жигулевская ;50
164;ПС 35/10 кВ Жигули ;4
165;ПС 110/6 кВ ЖЭТЗ ;20
166;ПС 35/6 кВ Заборовка ;32
167;ПС 110/6 кВ Западная ;50
168;ПС 110/35/6 кВ Зольное ;21.6
169;ПС 35/10 кВ Колхозная ;8
170;ПС 110/35/6 кВ Комсомольская ;80
171;ПС 35/10 кВ Кузькино ;8
172;ПС 110/35/10 кВ Лопатино ;22.3
173;ПС 110/35/10 кВ Матюшкино ;41
174;ПС 35/6 кВ Молокозавод ;8
175;ПС 35/6 кВ Моркваши ;6.3
176;ПС 35/10 кВ Муранка ;6.3
177;ПС 110/10 кВ Мусорка ;12.6
178;ПС 35/6 кВ Новая Рачейка ;12.6
179;ПС 35/10 кВ Новодевичье ;8
180;ПС 35/10 кВ Осиновка ;4
181;ПС 110/6 кВ Плотина ;12.6
182;ПС 35/10 кВ Подстепки ;20
183;ПС 110/6 кВ Портовая ;26
184;ПС 110/6 кВ Р.Котельная ;32
185;ПС 110/35/6 кВ Ремзавод ;50
186;ПС 110/35/10 кВ Рождествено ;20
187;ПС 35/10 кВ Русские Выселки ;10.3
188;ПС 35/10 кВ Санаторная ;8
189;ПС 35/6 кВ Сердовино ;20
190;ПС 110/35/10 кВ Совхозная ;50
191;ПС 35/10 кВ Суринская ;4
192;ПС 35/10 кВ Ташелка ;4
193;ПС 35/6 кВ Тепличная ;12.6
194;ПС 35/6 кВ Тишерек ;6.4
195;ПС 35/6 кВ Троицкая ;20
196;ПС 110/10 кВ Узюково ;22.3
197;ПС 35/10 кВ Усинская ;8
198;ПС 35/10 кВ Усолье ;12.6
199;ПС 110/10 кВ Хрящевка  ;12.6
200;ПС 110/35/10 кВ Шигоны ;32
201;ПС 110/6 кВ Южная  ;32
202;ПС 35/6 кВ Яблоневская ;7.2
203;ПС 110/10 кВ Ягодное ;50
204;ПС 35/6 кВ Кировская;2.5
205;ПС 35/10 кВ НСП-2;6.3
206;ПС 35/10 кВ Липовка;1
207;ПС 35/10 кВ Тепловская;2.5
208;ПС 35/10 кВ Димитрова;2.5
209;ПС 110/35/10 кВ Чапаевская ;80
210;ПС 110/35/6 кВ Снисски ;32
211;ПС 110/10 кВ Нулевая ;20
212;ПС 110/6 кВ Центральная  ;80
213;ПС 110/35/10 кВ Большая Черниговка ;32
214;ПС 110/10 кВ Августовка ;16.3
215;ПС 110/10 кВ Поляково ;6.3
216;ПС 110/10 кВ Восток;2.5
217;ПС 110/35/10 кВ Большая Глушица ;50
218;ПС 35/10 кВ Марьевка ;8
219;ПС 35/10 кВ Калининская;5.8
220;ПС 35/10 кВ Покровка ;6.5
221;ПС 35/10 кВ Падовка ;4
222;ПС 35/10 кВ Маяк ;8
223;ПС 35/10 кВ Котельная ;32
224;ПС 35/10 кВ Пензино;8
225;ПС 35/10 кВ Красный Октябрь;5
226;ПС 35/10 кВ Украинка ;2.5
227;ПС 35/10 кВ Полевая ;8
228;ПС 35/10 кВ Морша ;4
229;ПС 35/10 кВ Муратшино ;6.5
230;ПС 35/10 кВ Новопавловка ;5.8
231;ПС 35/10 кВ Александровка ;4
232;ПС 35/10 кВ Большая Дергуновка ;8
233;ПС 35/10 кВ Хворостянка ;12.6
234;ПС 35/10 кВ Озерецкая;1.6
235;ПС 35/10 кВ Владимировка ;3.2
236;ПС 35/10 кВ Екатериновка;6.5
237;ПС 35/10 кВ НСП-1 ;4
238;ПС 35/10 кВ НСП-3 ;12.6
239;ПС 35/6 кВ НСП-4 ;4.25
240;ПС 35/6/0,4 кВ НС-6 ;2.75
241;ПС 35/6 кВ НС-10 ;2.66
242;ПС 35/10/6 кВ НС-11 ;5
243;ПС 35/10 кВ Западная ;20
244;ПС 35/10/6 кВ Купино ;9
245;ПС 35/10 кВ Алексеевская  ;8
246;ПС 35/6 кВ Безенчукская ;8
247;ПС 35/10 кВ Мосты ;5.6
248;ПС 35/10 кВ Майская ;5
249;ПС 35/10 кВ Волчанка ;7.3
250;ПС 35/10 кВ Вязовый Гай ;4
251;ПС 35/10 кВ Ровное ;10.3
252;ПС 35/10 кВ Зайцевская ;4
253;ПС 110/10 кВ Морец ;16.3
254;ПС 110/10 кВ Абашево ;50
255;ПС 110/35/10 кВ Новокуровка ;16
256;ПС 110/10 кВ Масленниково ;20
257;ПС 110/10 кВ Совхозная-3;64
258;ПС 110/35/10 кВ Приволжье ;50
259;ПС 110/10 кВ Солнечная ;6.3
260;ПС 110/10 кВ Обшаровка ;20
261;ПС 110/35/10 кВ Новоспасская ;32
262;ПС 110/35/10 кВ Висла ;50
263;ПС 110/10 кВ Натальино ;16
264;ПС 110/35/10 кВ Ольгино ;20
265;ПС 110/10 кВ Лесная;6.3
266;ПС 110/35/10 кВ Переволоки ;50
267;ПС 110/35/10 кВ Колдыбань ;32
268;ПС 110/35/10 кВ Пестравка ;32
269;ПС 110/10 кВ Любецкая ;64
270;ПС 110/10 кВ Воздвиженка;12.6
