Тип (official_short_type);Номер (ref);Напряжение (voltage);Название (name);Трансформаторная мощность, МВА (rating);Год ввода (start_date);Оператор (operator);Филиал (branch)
ПС;;110/35/10;Кардавиль;20;1992;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Арзамасские ЭС
ПС;;110/35/10;Княгинино;20;1962;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Сергачские ЭС
ПС;;110/35/10;Ковернинская;20;1983;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Балахнинские ЭС
ПС;;110/35/10;Комплекс;32;1976;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Дзержинские ЭС
ПС;;110/35/10;Конново;7.5;1984;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Южные ЭС
ПС;;110/35/10;Кострово;8.8;1985;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Балахнинские ЭС
ПС;;110/35/10;Кузьминка;11.9;1965;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Сергачские ЭС
ПС;;110/35/10;Линда;20;1972;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;110/35/10;Лукоянов-110;32;1958;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Арзамасские ЭС
ПС;;110/35/10;Митино;32;1981;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Центральные ЭС
ПС;;110/35/10;Нива;16.3;1978;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;110/35/10;Орбита;50;1979;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Арзамасские ЭС
ПС;;110/35/10;Останкино;35.2;1950;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;110/35/10;Панфилово;20;1981;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Арзамасские ЭС
ПС;;110/35/10;Перевоз;26;1982;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Арзамасские ЭС
ПС;;110/35/10;Пижма;12.6;1963;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Уренские ЭС
ПС;;110/35/10;Пильна-110;26;1985;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Сергачские ЭС
ПС;;110/35/10;Работки;20;1956;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;110/35/10;Разино;12.6;1990;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Арзамасские ЭС
ПС;;110/35/10;Салганы;20;1969;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Сергачские ЭС
