Наименование объекта центра питания, класс напряжения;Год ввода/Год реконструкции (при изменении установленной мощности) ;Установленная мощность трансформаторов;Широта;Долгота
ПС 35/10 кВ Чернава;1967;5;52.4967518763096;38.0637704486141
ПС 35/10 кВ Чернолес;1986;5;52.9260817588539;38.4597733974286
ПС 35/6 кВ ПС № 5;1954;9.5;52.6269759064713;39.0139669626504
ПС 35/10 кВ Красное;1965;8;52.8506009732135;38.7742452593793
ПС 35/10 кВ Теплое;1992;5;53.2072358575215;38.8958026449592
ПС 35/10 кВ Данков-сельская;1966;12.6;53.2662632238608;39.1338919512096
ПС 35/10 кВ Колыбельская                              ;1969;5;53.0989926730346;39.9119484733396
ПС 35/10 кВ Топки;1997;5;53.3503464116415;39.5855577229596
ПС 35/10 кВ Агроном;1968;10.3;53.030961707514;39.0196577303286
ПС 35/10 кВ Троекурово-совхозная ;1970;5;52.9775843443344;38.9714056711296
ПС 35/10 кВ Гагарино;1974;3.6;53.3406829912947;39.7029783935529
ПС 35/10 кВ Раненбург;1975;3.2;53.2531596041981;40.0064268005424
ПС 35/10 кВ Сергиевка;1996;5;53.0157198380114;38.8455594472827
ПС 35/10 кВ Дрезгалово;1976;3.2;52.7643146500229;38.793289112713
ПС 35/10 кВ Долгое;1976;5;53.4509742166288;39.0888047559182
ПС 35/10 кВ Воскресеновка;1975;3.2;53.2004196568037;38.727410939117
ПС 35/10 кВ Сапрыкино;1977;4.1;52.9811074026891;38.7038874908454
ПС 35/10 кВ Новополянье;1977;5;53.1859482721752;39.8280662503093
ПС 35/10 кВ Ведное;1978;5;53.4940158367293;39.7902724025895
ПС 35/10 кВ Бигильдино ;1979;5;53.3519436423209;39.1501187748859
ПС 35/10 кВ Культура;1979;5;53.0316810906413;39.4314408120338
ПС 35/10 кВ Борятино;1980;5;53.3393788396775;38.7533467115582
ПС 35/10 кВ Б.Попово;1980;5;52.916084487414;39.0961908900579
ПС 35/10 кВ Б. Избищи;1983;5;52.9490964512647;39.3919282932421
ПС 35/10 кВ Полибино;1985;5;53.5135137151775;38.9702229228205
ПС 35/10 кВ Дубрава;1985;5;52.8928343131534;38.6261297295594
ПС 35/10 кВ Хрущево;1987;5;53.1316813316363;38.9816199959201
ПС 35/10 кВ Б. Верх;1988;5;53.1094749372983;38.756379163884
ПС 35/10 кВ Головинщино;1988;5;53.1969004192792;39.6549530389204
ПС 35/10 кВ Яблонево;1990;5;52.8116913182408;38.9226384642615
ПС 35/10 кВ Политово;1991;5;53.3503911725405;38.9499536773673
ПС 35/10 кВ Комплекс;2006;8;53.2586983709845;39.6135615121317
ПС 35/10 кВ № 1;1985;8;52.5414978240682;39.7992414486201
ПС 35/6 кВ № 2;1954;3.5;52.6375642161791;39.4930345241364
ПС 35/10 кВ № 3;1968;5;52.5803381210763;39.3508334557333
ПС 35/6 кВ № 4;1953;8;52.6873582365407;39.4359861850541
ПС 35/6 кВ Грязи-город;1966;11.9;52.4818739864321;39.9612398539912
ПС 35/10 кВ Бутырки;1968;11.9;52.6543188029843;39.8023052543494
ПС 35/10 кВ Ярлуково;1972;7.2;52.5484187694008;39.8452222291569
