Наименование объекта центра питания;Год ввода/Год реконструкции (при изменении установленной мощности) ;Установленная мощность трансформаторов;Широта;Долгота
ПС 35/10 кВ Одинцово;1979;12.6;54.7198296474988;32.11772947712
ПС 35/10 кВ Трудилово;1975;5;54.6254362525581;31.9568844716629
ПС 110/10 кВ КС-3 ПС №2;1982;80;54.8835058336487;31.9305079104637
ПС 110/35/6 кВ Пронино;1983;20;54.8067161994464;31.8649679698357
ПС 35/10 кВ Ольша;1984;5;54.8596798974643;31.8514819831978
ПС 35/6 кВ Красный бор;1993;8;54.8131862421599;31.901755206228
ПС 110/35/6 кВ Северная;1975;50;54.8097890160999;32.0541879029813
ПС 35/6 кВ Печерск;1990;8;54.8497593700145;32.0317292866392
ПС 35/6 кВ Колодня;1967;10.3;54.8296337668059;32.1278874116629
ПС 110/10/6 кВ Центральная;1984;50;54.7907440380499;32.0359616377291
ПС 110/10/6 кВ Чернушки;1982;50;54.7759750490617;31.9992439575991
ПС 110/35/6 кВ Южная;1992;80;54.7568864447115;32.0300324803228
ПС 110/35/6 кВ Карьерная;1989;32;54.6121546288571;32.3426968899748
ПС 35/10 кВ Кощино;1978;8;54.6006884619791;32.1767705110405
ПС 35/10 кВ Коммунар;1974;5;54.7076088253147;32.4859418190344
ПС 110/35/10 кВ Каспля;1982;20;54.9904550059324;31.6349371781601
ПС 35/10 кВ Аполье;1975;5;55.0522974165583;31.863980223966
ПС 35/10 кВ Жуковская;1974;8;54.9223321466961;32.0596381836788
ПС 110/35/10 кВ Мазальцево;1990;20;55.0234597838216;32.0794630175081
ПС 35/10 кВ Петрищево;1989;4.1;55.1336575931795;32.0501237000545
ПС 110/35/10 кВ Красный;1977;20;54.5623861925888;31.4586016582534
ПС 35/10 кВ Волоедово;1975;5;54.3928980357408;31.4727423064227
ПС 35/10 кВ Крюково;1977;5;54.5720629620573;31.6678363798618
ПС 35/10 кВ Миганово;1974;5;54.6978524673549;31.3890965644649
ПС 110/35/10 кВ Велиж;1978;20;55.6249958246713;31.2037266032768
ПС 35/10 кВ Чепли;1974;5;55.5465650576092;31.5249280815504
ПС 110/35/10 кВ Демидов;1972;26;55.2706668154886;31.4914511151402
ПС 35/10 кВ Старое село;1978;5;55.5362234941582;31.3441130468495
ПС 35/10 кВ Закрутье;1975;5;55.3550104263857;31.4146101331256
ПС 35/10 кВ Заборье;1974;4.1;55.4114634584667;31.5831344120665
ПС 110/35/10 кВ Михайловское;1983;20;55.5296894061956;31.7415191379443
ПС 110/35/10 кВ Кардымово;1979;26;54.8890570853684;32.456710541145
ПС 35/6 кВ Синьково;1972;6.5;54.8476794534375;32.189985124406
ПС 35/10 кВ Каменка;1974;5;55.0200528070445;32.3036221739714
ПС 35/10 кВ Соловьево;1989;8;54.9265292454961;32.7181449005153
ПС 35/10 кВ Жичицы;1972;5;55.104854925137;31.2750017927037
ПС 35/10 кВ Микулино;1975;12.6;55.0277386374079;31.0955865345487
ПС 35/10 кВ Любавичи;1974;5;54.8469112135416;30.9677443615548
ПС 35/10 кВ Казимирово;1980;8;54.8135126393267;31.0878102974656
ПС 110/35/6 кВ Голынки;1986;50;54.8769426471226;31.3546433128615
ПС 35/10 кВ Белеи;1976;5;54.70679269995;31.1780491188156
ПС 110/35/10 кВ Понизовье;1988;12.6;55.2656769449895;31.0970105351204
ПС 35/10 кВ Кляриново;1980;5;55.1597091151029;31.0948369841599
ПС 110/6 кВ Сафоново;1957;35;55.1046443551077;33.1962825137703
ПС 110/35/6 кВ Горная;1978;50;55.1716801622299;33.2031037878921
ПС 35/6 кВ Родник;1973;10.3;55.0918830530967;33.2821993966458
ПС 35/10 кВ Вадино;1991;8;55.2530541959063;33.2486617999199
ПС 35/6 кВ ЗССК;1974;8;55.1476535123999;33.2590804530251
ПС 35/10 кВ Яново;1975;10.3;55.1532838028518;32.989164514212
ПС 35/10 кВ Капыревщина;1974;8;55.2004970531468;32.8589397626567
ПС 35/10 кВ Мирополье;1974;5;55.3994496342615;32.9540534283905
ПС 110/35/10 кВ Издешково;1975;11.9;55.1506263355368;33.6570241983927
ПС 35/10 кВ Алферово;1986;5;55.1680930329936;33.7664101998388
ПС 35/10 кВ Казулино;1978;5;55.3323399777085;33.5431124553395
ПС 35/10 кВ Богдановщина;1976;3.2;55.2711200136448;33.6583735215402
ПС 110/35/10 кВ Глинка;1961;16.3;54.6293964196673;32.8787886113947
ПС 35/10 кВ Добромино;1982;5;54.7027461428252;32.6872667241685
ПС 35/10 кВ Белый холм;1974;3.2;54.6052507353137;32.6151611212726
ПС 110/35/10 кВ Духовщина;1974;20;55.1887090468118;32.3980584504282
ПС 35/10 кВ Зимец;1993;8;55.2069374412991;32.3954540735378
ПС 35/10 кВ Береснево;1984;3.2;55.3484770726766;32.2861096952498
ПС 110/35/10 кВ Пречистое;1985;12.6;55.5154821754206;32.3942215993717
ПС 35/10 кВ Воронцово;1992;5;55.5793822340738;32.4998185542726
ПС 35/10 кВ Озерный;1977;12.6;55.5854283746702;32.4220364351478
ПС 110/10 кВ Игоревская;1976;20;55.4426714899737;33.2676544817684
ПС 110/35/10 кВ Канютино;1961;11.9;55.5161653455623;33.248426384374
ПС 35/10 кВ Боголюбово;1980;5;55.5011194694692;32.9580417174592
ПС 35/10 кВ Холм-Жирки;1989;6.5;55.5088820882168;33.4816162242068
ПС 110/35/10 кВ Дорогобуж 1;1985;32;54.9012858131312;33.2979458623854
ПС 35/10 кВ Каськово;1977;5.8;54.8021371000785;33.1005585492413
ПС 35/10 кВ Усвятье;1976;6.5;54.9284199197579;33.0952727989539
ПС 35/10 кВ Ушаково;1970;4.1;54.746947924948;33.4664976003282
ПС 110/10 кВ Ивано-Гудино;1984;12.6;54.636118450884;33.4123391738886
ПС 110/35/10 кВ Ельня;1982;32;54.5827639106307;33.2008000264885
ПС 35/10 кВ Павлово;1989;5;54.4069180347089;33.0000603125624
ПС 35/10 кВ Шарапово;1992;8;54.5753146552057;33.1632189612097
ПС 35/10 кВ Коробец;1986;5;54.5153026094938;33.4716757047006
ПС 35/10 кВ Балтутино;1979;5;54.5359963705073;32.829345555416
ПС 110/35/10 кВ Лапино;1981;11.2;54.4224122714338;33.1559518026698
ПС 35/10 кВ Мутище;1988;4.1;54.4525897918577;33.2852482875311
ПС 110/35/10 кВ Суетово;1975;12.6;55.0961357863534;32.9202075988793
ПС 35/10 кВ Пушкино;1984;5;55.0860631553337;33.0485522577039
ПС 110/10 кВ Ярцево 1;1989;60;55.0492917632959;32.6711690194805
ПС 110/10 кВ Ярцево 2;1976;32;55.0489400244295;32.7292662751398
ПС 110/35/10 кВ Сапрыкино;1990;12.6;55.0929247181856;32.6162084030313
ПС 35/10 кВ Дорогобуж 2;1985;12.6;54.9306724029284;33.3129382352574
ПС 35/6 кВ Егорьево;1979;12.6;54.9786978390535;33.3368728709536
ПС 35/10 кВ Шаломино;1986;4.1;54.9940640984123;33.3371786501807
ПС 110/35/6 кВ Рославль;1969;65;53.9741327599722;32.856443782696
ПС 35/6 кВ Мясокомбинат;1977;12.6;53.9786243729394;32.8315015124297
ПС 35/10 кВ Перенка;1977;8;53.9125680896932;32.9538902269488
ПС 35/10 кВ Хорошево;1974;6.5;53.9913509320841;32.6970498911011
ПС 35/10 кВ Липовка;1975;5;53.8428573925339;33.009277899573
ПС 35/10 кВ Кириллы;1975;5;53.9907655319299;32.8852196427291
ПС 110/35/10 кВ Десногорск;1988;50;54.1438557467702;33.2660359674193
ПС 35/10 кВ Екимовичи;1968;8;54.0999504667997;33.2682627761396
ПС 35/10 кВ Ивановская;1981;5;54.0362763144641;33.3660184429695
ПС 35/10 кВ Коханы;1974;3.2;54.2955928704889;33.6049755904793
ПС 35/10 кВ Коски;1977;8;54.0319914722817;33.0367041975652
ПС 110/35/6 кВ Индустриальная;1979;32;53.9278819587101;32.7898010711294
ПС 35/10 кВ Астапковичи;1976;5;53.902167971929;32.7203238677677
ПС 110/35/10 кВ Барсуки;1990;12.6;54.1245727631383;33.000555450625
ПС 35/10 кВ Богданово;1984;8;54.2287779932371;33.1626238171277
ПС 110/35/10 кВ Пригорье;1972;12.5;53.806590260603;33.1273610045233
ПС 35/10 кВ Бехово;1985;5;53.7513434567111;33.0294487173236
ПС 110/35/10 кВ Починок;1971;26;54.4034643547595;32.3984895749825
ПС 35/10 кВ Дивинская;1975;8;54.4413697691862;32.3402602522804
ПС 35/6 кВ Шаталово;1971;5;54.3225717989259;32.4552243591476
ПС 35/10 кВ Панская;1980;12.6;54.4980642243586;32.4151843507559
ПС 110/35/10 кВ Стодолище;1973;12.6;54.167034627714;32.6593066020322
ПС 35/10 кВ Белик;1980;5;54.2997564139082;32.8766219937255
ПС 35/10 кВ Первомайская;1974;8;54.0584175370071;32.4745100885152
ПС 110/35/10 кВ Васьково;1986;12.6;54.2607518733564;32.5654289850321
ПС 35/10 кВ Стригино;1974;5;54.4569498051043;32.6372583107987
ПС 35/10 кВ Коминтерн;1975;5;54.337375775734;32.5604164008962
ПС 110/35/10 кВ Монастырщина;1977;20;54.3616728228064;31.8327956366642
ПС 35/10 кВ Н.Михайлов;1979;8;54.3742481662545;31.6333232576291
ПС 35/10 кВ Татарск;1967;7.2;54.2485138373151;31.5502567971115
ПС 35/10 кВ Турки;1986;3.2;54.3682053173538;32.0390352801433
ПС 35/10 кВ Сож;1980;6.5;54.3676386380658;32.232056446804
ПС 110/35/10 кВ Хиславичи;1979;32;54.1724522895919;32.1270365310542
ПС 35/10 кВ Городище;1965;4.3;54.076908773856;32.0011661764051
ПС 35/10 кВ Комаровка;1975;8;54.1395512970808;32.2988786507724
ПС 35/10 кВ Черепово;1982;5;54.2434235418168;32.2354670540934
ПС 35/10 кВ Студенец;1974;4.1;53.8783498598376;32.0809812659686
ПС 110/35/10 кВ Шумячи;1979;20;53.8498204525063;32.4143522504126
ПС 110/35/10 кВ Ершичи;1979;20;53.6514479172157;32.7441069364719
ПС 35/10 кВ Рухань;1975;5;53.5245439895873;32.8363446298532
ПС 110/35/10 кВ Вязьма 1;1976;126;55.1715765937941;34.3189382507655
ПС 35/10 кВ Вязьма-Брянская;1995;12.6;55.1567335557985;34.3617963597083
ПС 35/10 кВ Хмелита;1982;4.1;55.3969579651278;33.8983809484602
ПС 35/10 кВ Исаково;1977;6.5;55.1820519637511;34.6663791300077
ПС 35/10 кВ Ризское;1973;5;55.2229731235447;34.14478786208
ПС 35/10 кВ Березка;1977;8;55.2313423757495;34.2134036193162
ПС 35/10 кВ Шиманово;1980;5.8;55.163502510107;34.5088184708701
ПС 35/10 кВ Кайдаково;1985;8;55.1139004030301;34.3054478269881
ПС 35/10 кВ Мелькомбинат;1974;20;55.2367501487803;34.3206002391155
ПС 35/10 кВ Кикино;1987;5;55.11256945686;34.8112100602002
ПС 110/10 кВ Вязьма 2;1986;32;55.1955130741184;34.301789295951
ПС 110/35/10 кВ Туманово;1978;12.6;55.415770659092;34.6609715769167
ПС 110/35/10 кВ Россия;1975;26;55.1438416307173;33.9957812039941
ПС 35/10 кВ Семлево;1974;6.5;55.0340901299907;33.9696123244679
ПС 35/10 кВ Артемово;1988;5;55.1937338517029;33.9531948652257
ПС 110/35/10 кВ Гагарин;1975;50;55.5678767908684;34.9795015373776
ПС 35/10 кВ Родоманово;1981;8;55.6304685046147;34.7788321727803
ПС 35/10 кВ Клушино;1975;8;55.6690454484469;35.032702010733
ПС 35/10 кВ Ивино;1977;3.2;55.7511322001678;34.6965277905236
ПС 35/10 кВ Карманово;1987;8;55.8329798948925;34.8592950169193
ПС 35/10 кВ Сверчково;1984;5;55.4855516786441;35.0271721352132
ПС 35/10 кВ Лесная;1988;8;55.607676996924;34.9232008740028
ПС 35/10 кВ Тесово;1979;4.1;55.626663760685;34.4731020160311
ПС 110/10 кВСветотехника;1982;32;55.5311419371881;35.0232555071709
ПС 110/35/10 кВ Мишино;1988;20;55.3491802910313;35.0601669808708
ПС 35/10 кВ Никольское;1972;12.6;55.4327048888352;35.0587600216115
ПС 35/10 кВ Бекрино;1976;5;55.2372044236703;35.0210713404677
ПС 110/10 кВ Трубная;1985;50;55.5458733155044;34.9711802245583
ПС 110/35/10 кВ Темкино;1978;20;55.0843816719555;35.003936005468
ПС 35/10 кВ Нарытка;1978;5;53.8447536377956;31.9173402698265
ПС 110/35/10 кВ Новодугино;1962;20;55.6257552234967;34.3132665348648
ПС 35/10 кВ Высокое;1976;5.6;55.4931294676023;34.1099917887459
ПС 35/10 кВ Хотьково;1973;8;55.6984978739507;34.2080374931856
ПС 35/10 кВ Липецы;1989;5;55.6194698463225;34.1720414824202
ПС 35/10 кВ Нахимовская;1974;3.2;55.2305568404904;34.803174464583
ПС 110/35/10 кВ Сычевка;1971;41;55.8237557688873;34.3050735498307
ПС 35/10 кВ Сутормино;1976;6.5;55.7234705031966;34.3914408797944
ПС 35/10 кВ Караваево;1971;8;55.8708549329965;34.2444138586545
ПС 35/10 кВ Лукино;1981;6.5;55.7743439086191;34.205973576524
ПС 110/10 кВ Субботники;1994;12.6;55.8058340033681;34.4383660960536
ПС 110/10 кВ Угра;1984;12.6;54.7749531072629;34.3123100820709
ПС 110/35/10 кВ Знаменка;1989;20;54.9183282584944;34.5448731620215
ПС 35/10 кВ Лосьмино;1973;5;55.0558363394752;34.3988215375372
ПС 110/35/10 кВ Всходы;1970;12.6;54.6585177800384;34.1200265221445
ПС 110/10 кВ Ельня-1;;20;;
ПС 110/10 кВ Феникс;;50;;
