Наименование объекта центра питания, класс напряжения;Год ввода/Год реконструкции (при изменении установленной мощности) ;Установленная мощность трансформаторов;Широта;Долгота
ПС 35/10 П.Пригородная;1970;12.6;52.6733495734648;41.401906607893
ПС 35/10 Бокинская;1974;12.6;52.6500597962535;41.4181425533495
ПС 35/10 Столовская;1990;4;52.7993596178077;41.7755705974603
ПС 35/10 Тулиновская;1982;5;52.8097007295047;41.5822049724723
ПС 35/6 Макаронная фабрика;1959;1.6;52.5725091696653;41.5105019531494
ПС 35/10 Серебряковская;1977;5;52.5171819980138;41.2875543648924
ПС 35/10 Б.Дорога;1993;3.2;53.4014375839217;40.6825201717823
ПС 35/10 Б.Избердеевская;1963;5;52.5635349113759;40.3784722672019
ПС 35/10 Вишневская;1983;5;53.2146363387283;40.6774494366093
ПС 35/10 Вырубовская;1970;5;53.0913705501884;40.9285647881359
ПС 35/10 Глазковская;1976;5;53.126524082003;40.7069924859723
ПС 35/10 Дмитриевская;1988;5;52.5896111405049;40.725548935317
ПС 35/6 Донская;1984;16.3;52.903806835141;40.5172869258148
ПС 35/10 Дружба;1973;2.5;52.7980508986281;40.3619715369077
ПС 35/10 Екатерининская;1984;8;52.9758203476434;40.7979669481621
ПС 35/10 Жидиловская;1984;5.6;52.940106767848;40.3509992612739
ПС 35/10 Изосимовская;1975;8.8;52.9692492967275;40.5720777894293
ПС 35/10 КИМ;1975;6.5;52.8650864739965;40.8111978028313
ПС 35/10 Кленская;1977;5;53.2108534211972;40.1840253337363
ПС 35/10 Козьмодемьяновская;1976;5;53.1826439543272;40.5223931589165
ПС 35/10 Коминтерн;1980;5;52.9098193200055;40.6036311014302
ПС 35/10 Кочетовская;1974;1.6;53.0299755835531;40.5178590412236
ПС 35/10 Нов.Васильевская;1972;5;52.6788853382142;40.1775768621213
ПС 35/10 Тарбеевская;1990;2.5;52.8293915257861;40.2290013505044
ПС 35/10 Н.Юрьевская;1983;3.2;53.3689199429739;40.8948949371018
ПС 35/10 Петровская;1974;8;52.6113513828556;40.2385260132499
ПС 35/10 Пригородная;1976;5;52.8593646030099;40.5546829754658
ПС 35/6 Прогресс;1964;20;52.8885586032578;40.4769333344146
ПС 35/10 Ранинская;1970;1.6;52.9729781545944;40.2790358650935
ПС 35/10 Рахманинская;1978;3.2;52.5761393962406;40.5907489875283
ПС 35/10 Сабуровская;1979;11.9;52.834573988422;40.9834665674176
ПС 35/10 Сестрёнская;1992;3.2;52.7378918138502;40.3313621462559
ПС 35/10 Ситовская;1970;1.6;52.6556606286435;40.0358488925784
ПС 35/10 Скобелевская;1983;1.6;53.4011872946552;40.5488871486722
ПС 35/10 Устьинская;1983;2.5;52.8228018879966;40.434376061796
ПС 35/10 Юрловская;1962;5;52.709250505523;40.6643284560144
ПС 35/10 Яблоновецкая;1981;4.1;52.4703728578494;40.4664899921419
ПС 35/10 Агропром;1991;8;53.4428941075158;41.7529780710466
ПС 35/10 Алексеевская;1974;4.1;53.6105311391731;41.5052928825947
ПС 35/10 Вановская;1988;5;53.7612633881784;41.6041643070909
ПС 35/10 Вяжлинская;1969;1.8;53.4011159979688;42.0471044855481
ПС 35/10 Заречная;1982;5;53.4393481964677;41.8582992083282
ПС 35/10 Крюковская;1981;5;53.4047462629995;41.7840254459959
ПС 35/6 Коршуновская;1969;5;53.4685801268643;41.8444530917428
ПС 35/6 Луговая;2000;4;53.4433274505932;41.832625671181
ПС 35/10 Любвинская;1969;5;53.4349315119458;41.4066585522717
ПС 35/10 Северная;1977;8;53.4649350197735;41.7974032369454
ПС 35/10 Питерская;1974;2.5;53.3451630113418;41.7560239851771
ПС 35/10 Ракшинская;1974;8;53.5049156629722;41.5577576651728
ПС 35/10 Рыбинская;1974;5;53.6513171414617;41.6768415450049
ПС 35/10 Серповская;1975;5;53.6015549614174;41.8206795228222
ПС 35/10 Ст.Томниковская;1969;1;53.7262977484809;41.880451493512
ПС 35/10 Чернитовская;1982;2.5;53.7179754377543;41.7969332978673
ПС 35/10 Бондарская;1971;5;52.9477527803209;42.0414440407524
ПС 35/10 Вернадовская;1981;4.1;53.2954214104096;42.3735682957176
ПС 35/10 Гагаринская;1973;4.1;53.1184042766256;41.9955794917603
ПС 35/10 Егоровская;1992;5.7;53.2718696793791;42.1759733400324
ПС 35/10 Кершинская;1983;4.1;52.8833941590779;41.892532212856
ПС 35/10 Куровщинская;1988;3.2;52.8997586032663;42.4223220585521
ПС 35/10 Липовская;1991;2.5;53.2244414106303;42.3437097980888
ПС 35/10 Ломовисская;1986;5.7;53.1819835494459;42.0513461298916
ПС 35/10 Митропольская;1965;2.5;52.9717616444661;42.0647296713988
ПС 35/10 П.Угловская;1980;1.6;52.9651470654106;41.9027350759857
ПС 35/10 Рудовская;1972;5;53.1134486453089;42.3615675615437
ПС 35/10 В.Ярославская;1990;5;53.369878365931;41.1374146312638
ПС 35/10 Дегтянская;1966;2.5;53.0372423948881;41.2165094023461
ПС 35/10 Зелёная;1978;1.6;53.2133728760062;40.9124132957152
ПС 35/10 Кулеватовская;1974;8;53.1802231126982;41.5688161479263
ПС 35/10 Ламская;1967;6.5;53.2813228611177;41.0899537534719
ПС 35/10 Грязновская;1987;5;53.2509598913487;41.4443789139308
ПС 35/10 Отъясская;1980;5;53.251429440355;41.6515253279539
ПС 35/10 П.Васильевская;1973;1.6;53.4013652307825;41.0268597534388
ПС 35/10 Подлесная;1980;5;53.1639668033087;41.2236006334736
ПС 35/10 Троицкая;1980;5;53.364089765566;41.374828578333
ПС 35/10 Городская;1970;4;51.8234313459822;41.5066225202447
ПС 35/10 Сукмановская;1988;5;51.8081124932601;41.5317898222016
ПС 35/10 Туголуковская;1978;6.5;51.9440048217748;41.6849141911421
ПС 35/10 Артемовская;1979;8;51.7885241887931;41.2071047416579
ПС 35/10 РСХО;1985;6.5;51.8411175673402;41.4321423433715
ПС 35/10 Максимовская;1984;3.2;51.9981610661877;41.4993775631417
ПС 35/10 Бурнакская;1977;11.9;51.8768338832559;41.4234429612644
ПС 35/10 Полетаевская;1981;8;51.8866361431232;41.0792030114798
ПС 35/10 Росляйская;1978;8;51.965773327994;41.1066048698976
ПС 35/10 Пионер;1992;4.1;51.9720877974876;41.1566612133591
ПС 35/10 Львовская;1978;5;52.099434539901;41.4514748655398
ПС 35/10 Надеждинская;1992;1.6;51.7855636017097;41.0730026028336
ПС 35/10 Кулешовская;1986;2.5;52.1534676823019;41.1859470734321
ПС 35/10 Черняевская;1976;8;52.1142447796651;40.8095938056157
ПС 35/10 Ивановская ;1971;5;52.2634928429886;41.5801041598901
ПС 35/10 Шульгинская;1992;5;52.2084610806144;40.8236684888342
ПС 35/10 Лавровская;1989;5;52.3265550173209;40.9353909291553
ПС 35/10 Н.Сергиевская;1971;3.2;51.9547452076066;40.6970182027608
ПС 35/10 Каменская;1974;5;52.0697298390418;41.7970442777922
ПС 35/10 Протасовская;1980;5;52.1361773054039;41.7344193516958
ПС 35/10 Чакинская;1979;4;52.2455127443042;41.9380829099902
ПС 35/10 Лукинская;1991;2.5;52.1404570923105;42.1129054981921
ПС 35/10 Золотовская;1991;2.5;52.2891216459463;42.0620601720928
