Наименование;Установленная мощность, МВА;Классы напряжения
ПС 220 кВ Ливны;250;220/110/10
ПС 220 кВ Мценск;250;220/110/10
ПС 220 кВ Орловская Районная;245;220/110/10
ПС 220 кВ Узловая;832,8;220/110/35/6
ПС 220 кВ Черемисино;126;220/10/10
