Наименование;Установленная мощность, МВА;Классы напряжения
ПС 110 кВ Северный Портал;20;110/10
ПС 330 кВ Владикавказ-2;400;330/110/10
ПС 330 кВ Владикавказ-500;400;330/115/10,5
ПС 330 кВ Моздок;286,3;330/115/11
