№ ПС/ТП;Наименование;Установленная мощность, МВА;Классы напряжения
345;ПС 330 кВ Северная Янтарьэнерго;760;330/110/10
346;ПС 330 кВ Советск;50;330/110/10
352;ПС 330 кВ Центральная Янтарьэнерго;400;330/110/15
