Наименование центра питания;Установленная мощность, МВА;Классы напряжения
ПС 220 кВ Барыш;125;220/110/10
ПС 220 кВ Кременки;310;220/110/6
ПС 220 кВ Ульяновская;500;220/110/6
ПС 220 кВ Черемшанская;250;220/110/10
ПС 500 кВ Вешкайма;256,3;500/110/10
ПС 500 кВ Ключики;1252;500/220/110/10
