Наименование;Установленная мощность, МВА;Классы напряжения
ПС 220 кВ Высокая;250;220/110/10
ПС 220 кВ Макушино;200;220/110/10
ПС 220 кВ Промышленная;400;220/110/10
ПС 220 кВ Шумиха;325;220/110/10
