Наименование центра питания;Установленная мощность, МВА;Классы напряжения
ПС 220 кВ Волжская;706;220/110/10
ПС 220 кВ Восток;628;220/10/10
ПС 220 кВ Дубники;126;220/110/10
ПС 220 кВ Заря;652;220/10/10
ПС 220 кВ Чигашево;400;220/110/10
ПС 500 кВ Помары;1002;500/220/10
