Наименование;Установленная мощность, МВА;Классы напряжения
ПС 220 кВ Ак-Довурак;183,9;220/110/35/10/6
ПС 220 кВ Кызылская;142;220/110/35/10
ПС 220 кВ Туран;50;220/35/10
ПС 220 кВ Чадан;126;220/110/10
