Наименование;Установленная мощность, МВА;Классы напряжения
ПС 220 кВ Борок;250;220/110/10
ПС 220 кВ Галич;266,3;220/110/35/10
ПС 220 кВ Кострома-2;255;220/110/35/6
ПС 220 кВ Мотордеталь;300;220/110/10
