Оператор;№ ПС/ТП;Наименование;Классы напряжения;Трансформаторы;Установленная мощность, МВА
"""Черепановские электрические сети"" АО ""РЭС""";39;Посевная;110/10;2x10;20
"""Черепановские электрические сети"" АО ""РЭС""";40;Преображенская;35/10;1x2.5;2.5
"""Черепановские электрические сети"" АО ""РЭС""";41;Птичья;110/35/10;2x10;20
"""Черепановские электрические сети"" АО ""РЭС""";42;Пушная;110/10;1x10;10
"""Черепановские электрические сети"" АО ""РЭС""";43;Сосновская;35/10;2x2.5;5
"""Черепановские электрические сети"" АО ""РЭС""";44;Сузунская;110/35/10;2x16;32
"""Черепановские электрические сети"" АО ""РЭС""";45;Тальменская;110/10;2x6.3;12.6
"""Черепановские электрические сети"" АО ""РЭС""";46;Улыбинская;35/10;1x7.5, 1x6.3;13.8
"""Черепановские электрические сети"" АО ""РЭС""";47;Холодновская;35/10;2x1.6;3.2
"""Черепановские электрические сети"" АО ""РЭС""";48;Шайдуровская;35/10;1x2.5;2.5
"""Черепановские электрические сети"" АО ""РЭС""";49;Шарчинская;35/10;1x2.5;2.5
"""Черепановские электрические сети"" АО ""РЭС""";50;Шипуновская;110/10;2x2.5;5
"""Черепановские электрические сети"" АО ""РЭС""";51;Шурыгинская ;110/10 ;1x5.6, 1x2.5;8.1
