Наименование;Установленная мощность, МВА;Классы напряжения
ПС 330 кВ Благодарная;125;330/110/10
ПС 330 кВ Ильенко;282;330/110/10
ПС 330 кВ Машук;520;330/115/35/10,5
ПС 330 кВ Прикумск;432;330/110/35/10
ПС 330 кВ Ставрополь;375;330/115/11
ПС 500 кВ Буденновск;1127;500/330/110/10
