№ п/п;Наименование центра питания;Класс напряжения, кВ;Установленная мощность, МВА
354;Красная Слобода;110000/10000;20
355;Краснополянск;110000/10000;20
356;Липчинская;110000/10000;2,5
357;Ляпуново;35000/10000;6,5
358;Ощепково;110000/10000;20
359;Паново;110000/10000;12,6
360;Поклевская;110000/10000;32
361;Промбаза;110000/10000;6,3
362;Пушкарево;110000/10000;12,6
363;Пылаево;110000/10000;2,5
364;Трехозерка;110000/10000;2,5
365;Трифаново;110000/10000;12,6
366;Троицкая;110000/10000;12,6
367;Тугулым;110000/10000;16,3
368;Туринская Слобода (новая);110000/10000;32
369;Устье;110000/10000;6,3
370;Черемыш;110000/10000;12,6
371;Четкарино;110000/10000;11,9
372;Чупино;110000/10000;6,3
373;Шаламово;110000/10000;8,8
374;Кольцово;35000/6000;12,6
375;Юрмыт;110000/10000;5
376;Юшала;110000/10000;15,6
377;Яр;110000/10000;16,3
378;Лобва;110000/35000/6000;32
379;Приречная;110000/6000;50
380;Титан;110000/10000;20
381;Рассоха;110000/10000;32
382;Звездная;110000/10000;20
383;Рудянка;110000/35000/6000;16
