Наименование;Установленная мощность, МВА;Классы напряжения
ПС 220 кВ Древлянка;330,5;220/110/35/6
ПС 220 кВ Кемь;175;220/110/35/10
ПС 220 кВ Ляскеля;158;220/110/35/10
ПС 220 кВ Медвежьегорск;77;220/110/35/10
ПС 220 кВ Сортавальская;63;220/110/10
ПС 220 кВ Суоярви;158;220/110/35/6
ПС 330 кВ Кондопога;240;330/220/35/10
ПС 330 кВ Лоухи;251;330/110/35/10
ПС 330 кВ Петрозаводская;480;330/220/35
