Наименование;Установленная мощность, МВА;Классы напряжения
ПС 220 Горячинск;250;220/110/10
ПС 220 кВ Мухоршибирская;83;220/110/10
ПС 220 кВ Районная;884,4;220/110/35/10/6
ПС 220 кВ Северная;926;220/110/10
ПС 220 кВ Селендума;138,6;220/110/35
ПС 220 кВ Таксимо;138,6;220/110/35/10
ПС 220 кВ Татаурово;126;220/110/10
