Наименование;Установленная мощность, МВА;Классы напряжения
ПС 220 кВ Алмаз;126;220/110/10
ПС 220 кВ Бежецк;126;220/110/10
ПС 220 кВ Нелидово;290;220/110/10
ПС 220 кВ Победа;250;220/110/10
ПС 330 кВ Бологое;250;330/110/10
ПС 330 кВ Калининская;642,5;330/110/10
ПС 330 кВ Новая;250;330/110/10
