248;"ПС";"Батово";110000;"ПС 142"
249;"ПС";"Новинка";35000;"Нов"
250;"ПС";"Промзона-1";110000;"ПС 224"
251;"ПС";"Мариенбург";110000;"ПС 225"
252;"ПС";"Войсковицы";35000;"Вск"
253;"ПС";"Белогорка";110000;"ПС 259"
254;"ПС";"Вырица";110000;"ПС 322"
255;"ПС";"Вырица";35000;"Вц"
256;"ПС";"Кобралово";35000;"Коб"
257;"ПС";"Ленинградская картонная фабрика";110000;"ПС 354"
258;"ПС";"Коммунар";35000;"Кмр"
259;"ПС";"Лукаши";35000;"Лк"
260;"ПС";"Новый свет - 1";35000;"Нсв-1"
261;"ПС";"Новый свет - 2";35000;"Нсв-2"
262;"ПС";"Войсковицы";110000;"ПС 366"
263;"ПС";"Гатчина";35000;"Гт"
264;"ПС";"Кобрино";35000;"Кб"
265;"ПС";"Мыза";35000;"Мз"
266;"ПС";"Орлино";35000;"Орл"
267;"ПС";"Пламя";35000;"Пм"
268;"ПС";"Сусанино";35000;"Сс"
269;"ПС";"Тайцы";35000;"Тц"
270;"ПС";"Истинка";110000;"ПС 116"
271;"ПС";"Пудость";35000;"Тяговая-4"
272;"ПС";"Борницы";35000;"Бр"
273;"ПС";"Юбилейная";35000;"Юб"
274;"ПС";"Волосово";110000;"ПС 189"
275;"ПС";"Бегуницы";35000;"Бг"
276;"ПС";"Сосницы";35000;"Сс"
277;"ПС";"Кикерино";35000;"Кк"
278;"ПС";"Елизаветино";35000;"Елз"
279;"ПС";"Калитино";110000;"ПС 355"
280;"ПС";"Луга-Южная";110000;
281;"ПС";"Володарка";35000;"ПС 37"
282;"ПС";"Торошковичи";35000;"ПС 41"
283;"ПС";"Луга";110000;"ПС 48"
284;"ПС";"Скреблово";35000;"ПС 31"
285;"ПС";"Оредеж";35000;"ПС 35"
286;"ПС";"Южная";35000;"ПС 36"
287;"ПС";"Пионерская";35000;"ПС 39"
288;"ПС";"Жельцы";110000;"ПС 144"
289;"ПС";"Милодеж";110000;"ПС 260"
290;"ПС";"Красный Маяк";110000;"ПС 262"
291;"ПС";"Сырец";110000;"ПС 290"
292;"ПС";"Серебрянка";110000;"ПС 379"
293;"ПС";"Вердуга";35000;"ПС 33"
294;"ПС";"Ретюнь";35000;"ПС 42"
295;"ПС";"Торковичи";110000;"ПС 531"
296;"ПС";"Дзержинка";110000;"ПС 534"
297;"ПС";"Пехенец";110000;"ПС 538"
298;"ПС";"Федоровская";110000;"ПС 211"
299;"ПС";"Родина";110000;"ПС 209"
300;"ПС";"Сланцы-Цемент";110000;"ПС 219"
301;"ПС";"Яблоницы";110000;"ПС 239"
302;"ПС";"Кингисепп-город";110000;"ПС 243"
303;"ПС";"Фалилеево";35000;"ПС 2"
304;"ПС";"Алексеевка";35000;"ПС 12"
305;"ПС";"Кингисеппская";35000;"ПС 17"
306;"ПС";"Кингисепп-2";110000;
307;"ПС";"Осьмино";110000;"ПС 258"
308;"ПС";"Старополье";35000;"ПС 15"
309;"ПС";"Рель";35000;"ПС 43"
310;"ПС";"Старополье";110000;
311;"ПС";"Выскатка";110000;"ПС 291"
312;"ПС";"Рудно";35000;"ПС 16"
313;"ПС";"Новоселье";35000;"ПС 19"
314;"ПС";"Сабск";110000;"ПС 336"
315;"ПС";"Молосковицы";110000;"ПС 376"
316;"ПС";"Сланцевский регенераторный завод";110000;"ПС 351"
317;"ПС";"Загривье";35000;"ПС 13"
318;"ПС";"Сланцы";35000;"ПС 14"
319;"ПС";"Гостицы";35000;"ПС 20"
320;"ПС";"Порт";110000;"ПС 549"
321;"ПС";"Ивановская";110000;"ПС 207"
322;"ПС";"Павлово новая";35000;"ПС 729"
323;"ПС";"Отрадное";35000;"ПС 730"
324;"ПС";"Щеглово";35000;"ПС 631"
325;"ПС";"Дунай";35000;"ПС 632"
326;"ПС";"Ладожское озеро";35000;"ПС 633"
327;"ПС";"Завод Сокол";35000;"ПС 52"
328;"ПС";"Ваганово";35000;"ПС 636"
329;"ПС";"Ладожская насосная";35000;"ПС 638"
330;"ПС";"ГПП-2 п/я Г-4093 Завод им. Морозова";110000;"ПС 515"
331;"ПС";"РЦ-11";35000;"ПС 713"
332;"ПС";"Мга";35000;"ПС 720"
333;"ПС";"Новолисино";35000;"ПС 725"
334;"ПС";"Поселковая";35000;"ПС 726"
335;"ПС";"Арбузово";35000;"ПС 728"
336;"ПС";"Петрокрепость";35000;"ПС 727"
337;"ПС";"Малукса";110000;"ПС 407"
338;"ПС";"Девяткино";35000;"ПС 50"
339;"ПС";"Девяткино";110000;
340;"ПС";"Паша - 2";35000;"ПС 20"
341;"ПС";"Паша - 1";35000;"ПС 21"
342;"ПС";"Потанино";35000;"ПС 22"
343;"ПС";"Селиваново";35000;"ПС 23"
344;"ПС";"Бабино";35000;"ПС 24"
