Наименование;Установленная мощность, МВА;Классы напряжения
ПС 220 кВ Кузнецк;250;220/110/6
ПС 220 кВ Пачелма;250;220/110/10
ПС 220 кВ Пенза-1;400;220/110/35
ПС 220 кВ Сердобск;131,5;220/110/10
ПС 500 кВ Пенза-2;751;500/220/35
