№ п/п;Наименование центра питания;Классы напряжения, кВ;Установленная мощность, МВА
156;ВЗС;35000/6000;17,5
157;Рахинка;110000/10000;12,6
158;Ахтуба;110000/35000/6000;41
159;Чайка;35000/10000;12,6
160;Красная Слобода;110000/35000/10000;32
161;Рассвет;110000/10000;6,3
162;Заплавное;35000/6000;4
163;Лебяжья;35000/6000;6,3
164;Кашира;35000/6000;8
165;Суходол;110000/10000;12,6
166;Красный Октябрь;110000/10000;6,3
167;Ленинская;110000/35000/10000;32
168;Пойменная;35000/10000;6,3
169;Тракторострой;35000/10000;5
170;Маяк;110000/35000/10000;10
171;Луч;110000/35000/10000;6,3
172;Покровка;35000/10000;4
173;Степана Разина;110000/35000/10000;6,3
174;Борьба;35000/10000;2,5
175;Химик;35000/10000;8
176;Колобовка;110000/10000;12,6
177;Западная;110000/10000;6,3
178;Юбилейная;110000/10000;6,3
179;Радужная;110000/10000;6,3
180;Быково;110000/10000;6,3
181;Кислово;110000/35000/6000;20
182;Никольская;110000/6000;26
183;Танина;110000/35000/10000;6,3
184;ПНС-7;35000/6000;4
185;Молодежная;110000/10000;6,3
186;Николаевская;110000/35000/10000;20
187;Комсомольская;110000/35000/10000;16,3
188;Катричево;35000/10000;4
189;Гмелинка;110000/35000/10000;12,6
190;Александровка;110000/10000;6,3
191;Коммуна;110000/10000;6,3
192;Луговая;35000/10000;2,5
193;Демидово;110000/10000;6,3
194;Вербенская;110000/35000/10000;6,3
195;Заволжская;110000/10000/6000;10
196;Совхозная;35000/10000;4
197;Левчуновка;35000/10000;1,8
198;Усадебная;35000/10000;2,5
199;Пионер;35000/10000;10,3
200;Новостройка;35000/10000;3,2
201;НС-11;35000/10000;4
202;Степновская;35000/10000;4
203;Рулевая;110000/10000;12,6
204;Политотдельская;110000/10000;6,3
205;Россия;35000/10000;12,6
206;Шульцы;110000/10000;6,3
207;Золотари;35000/10000;8
208;Савинка;35000/10000;4
209;Прудентово;35000/10000;4
210;Селянка;110000/10000;6,3
211;НС-1;35000/6000;8
212;НС-2;35000/6000;8
213;Максимовка;110000/10000;6,3
214;Старая Полтавка;110000/10000;16,3
215;Иловатка;110000/10000;6,3
216;Колышкино;110000/10000/6000;6,3
217;Кано;110000/10000;6,3
218;Валуевка;110000/10000;6,3
219;Умет;110000/10000;6,3
220;Терновка;110000/10000;6,3
221;Бутковка;110000/10000;6,3
222;Верхняя Добринка;110000/35000/10000;10
223;Иловлинская;35000/10000;8
224;ХБК;110000/10000;50
225;Северная;110000/10000;32
226;Городская;110000/10000;32
227;Микрорайон;110000/35000/10000;32
228;Пионер;35000/10000;4
229;НС-3;35000/6000;12,6
230;Крановая;35000/10000;20
231;НС-2;35000/6000;12,6
232;НС-1;35000/6000;20
233;Антиповская;110000/35000/10000;86,3
234;ГНС-2;110000/10000;6,3
235;ГСС;110000/10000;2,5
236;Лебяжье;110000/10000;6,3
237;Новомлиново;110000/6000;20
238;Мокрая Ольховка;110000/10000;6,3
239;Купцово;110000/10000;6,3
240;Моисеево;110000/10000;6,3
241;Котово;110000/35000/10000;32
242;Гурово;35000/10000;4
243;Попки;35000/10000;4
244;Коробки;110000/35000/6000;32
245;Мирошники;110000/10000;12,6
246;Лопуховка;110000/10000;2,5
247;Красный Яр;110000/10000;6,3
248;Платовская;110000/35000/10000;12,6
249;Овражная;110000/10000;12,6
250;Филино;110000/6000;12,6
251;Даниловская;110000/35000/10000;31
252;Островская;35000/10000;4
253;Белые Пруды;35000/10000;4
254;Березовская;110000/10000;6,3
255;Сергиевская;110000/10000;6,3
256;Медведицкая;110000/10000;6,3
257;Линево;110000/35000/10000;20
258;Алешники;35000/10000;6,3
259;Кленовская;35000/10000;5
260;Жирновская;110000/35000/6000;32
261;Песковка;110000/10000;6,3
262;Лемешкино;110000/10000;6,3
263;Ильмень;110000/10000;2,5
264;Матышево;110000/10000;6,3
265;Вязовка;110000/35000/10000;12,6
266;Рудня;110000/10000;12,6
267;Елань-2;110000/35000/10000;16,3
268;Морец;35000/10000;4
269;Большевик;35000/10000;8
270;Елань-1;110000/10000;22,3
271;Саломатино;110000/10000;6,3
272;Гусевка;110000/10000;6,3
273;Ольховка;110000/10000;12,6
274;Зензеватка;110000/6000;20
275;Солодча;110000/10000;12,6
276;Октябрьская;110000/10000;2,5
277;Ягодная;110000/10000;6,3
278;Тростянка;35000/10000;4
279;Романовка;35000/10000;2,5
280;Михайловская;110000/10000;41
281;Пищевая;35000/10000;31
282;Себряковская;110000/35000/10000;41
283;Отрадненская;35000/10000;4
284;Троицкая;35000/10000;6,3
285;Карагичевская;35000/10000;8
286;Сидорская;110000/10000;12,6
287;Раковская;110000/10000;12,6
288;Труд;110000/10000;12,6
289;Цементная;110000/6000;40
290;Арчединская;110000/10000;6,3
291;Цементная-2;110000/6000;50
292;Букановская;110000/10000;8,8
293;Кумылженская;110000/35000/10000;20
294;Глазуновская;110000/10000;6,3
295;Поповская;110000/10000;6,3
296;Слащевская;110000/35000/10000;6,3
297;Седовская;35000/10000;1,6
298;Покручинская;110000/35000/10000;10
299;Чиганаки;35000/10000;4
300;Иловля;110000/10000;12,6
301;Сиротинская;35000/10000;5,6
302;Донская;110000/35000/10000;32
303;Лог;110000/35000/6000;20
304;Бердия;35000/10000;4
305;Качалино;110000/10000;20
306;Озерки;35000/10000;5
307;Задонская;110000/10000;6,3
308;Ширяи;110000/10000;2,5
309;Александровская;110000/10000;6,3
310;Боровки;110000/10000;6,3
311;Пролетарская;35000/10000;3,2
312;Серафимович;110000/35000/10000;16,3
313;Усть-Хоперская;110000/35000/10000;10
314;Чеботаревская;35000/10000;4
315;Зимняцкая;35000/10000;4
316;Теркинская;110000/35000/10000;6,3
317;Средняя-Царица;110000/10000;6,3
318;Клетская Почта;110000/10000;10
319;Пронинская;110000/10000;2,5
320;Крутовская;110000/10000;2,5
321;Клетская;110000/35000/10000;32
322;Перелазовская;110000/10000;6,3
323;Бузиновская;35000/10000;4
324;Ярки;110000/10000;6,3
325;Калмыковская;110000/10000;6,3
326;Распопинская;110000/10000;6,3
327;Кременская;110000/10000;6,3
328;Заречная;110000/35000/6000;32
329;Кудиновская;110000/6000;6,3
330;Образцовская;35000/10000;6,5
331;Малодельская;35000/10000;6,3
332;Лозовская;35000/10000;4
333;Заводская;110000/6000;126
334;Карьер;35000/10000;2,5
335;ГКС;110000/10000;80
336;Новая Паника;110000/35000/10000;12,6
337;Етеревская;110000/10000;6,3
338;Алексеевская;110000/35000/10000;20
339;АМО;110000/35000/10000;10
340;Андреевская;110000/10000;6,3
341;Безымяновская;110000/35000/10000;10
342;Бубновская-2;110000/10000;160
343;Двойновая;110000/10000;6,3
344;Добринская;110000/10000;6,3
345;Дружба;110000/10000;6,3
346;Дубовская;110000/35000/10000;32
347;Ежовская-1;110000/35000/10000;16
348;Ежовская-2;110000/35000/10000;10
349;Ждановская;110000/10000;6,3
350;Заводская;110000/10000;10
351;Зубриловская;110000/10000;2,5
352;Искра;110000/10000;12,6
353;Кардаильская;110000/10000;6,3
354;Киквидзе-2;110000/35000/10000;20
355;Киквидзе-1;35000/10000;8
356;Косарка;110000/35000/10000;12,6
357;Нехаевская;110000/35000/10000;20
358;Новоаннинская;110000/10000;26
359;Опытная;110000/10000;6,3
360;Панфилово;110000/10000;10
361;Пищевая;110000/10000;26
362;Роднички;110000/35000/10000;10
363;Россошинская;110000/10000;6,3
364;Рябовская;110000/10000;6,3
365;Солонцы;110000/10000;6,3
366;Тепикинская;110000/10000;6,3
367;Упорники;110000/10000;6,3
368;Урюпинская;110000/35000/10000;60
369;Черкесовская-1;110000/10000;2,5
370;Черкесовская-2;110000/10000;6,3
371;Элеваторная;110000/10000;5
372;Ярыженская;110000/10000;10
373;Салтынская;35000/10000;5,8
374;Беспаловская;35000/10000;1,8
375;Первомайская;35000/10000;1,8
376;Деминская;35000/10000;4
377;Новокиевская;35000/10000;4
378;Тростянская;35000/10000;4
379;Купава;35000/10000;4
380;Красноармеец;35000/10000;4
381;Верхнереченская;35000/10000;4
382;Каменка;35000/10000;4
383;Луковская;35000/10000;4
384;Солонка;35000/10000;4
385;Компрессорная;35000/10000;8
386;Мачеха;35000/10000;8
387;Гришинская;35000/10000;4
388;Мордвинцевская;35000/10000;1,6
