Наименование центра питания;Установленная мощность, МВА;Классы напряжения
ПС 220 кВ  Яснополянская;250;220/110/10
ПС 220 кВ Бегичево;291,5;220/110/35/6
ПС 220 кВ Ленинская;650;220/110/10
ПС 220 кВ Люторичи;170;220/110/35/10
ПС 220 кВ Металлургическая(П619);250;220/110/10
ПС 220 кВ Северная(П625);380;220/110/10
ПС 220 кВ Тула;500;220/110/10
ПС 220 кВ Химическая;400;220/110/10
