Наименование;Установленная мощность, МВА;Классы напряжения
ПС 220 кВ Комсомольская;251;220/110/10
ПС 220 кВ Мокша;125;220/110/10
ПС 220 кВ Рузаевка;250;220/110/10
ПС 220 кВ Саранская;250;220/110/6
ПС 220 кВ Центролит;126;220/10/10
