№ ПС/ТП;Наименование;Установленная мощность, МВА
329;ПС 330 кВ Окуловская;250
338;ПС 330 кВ Старорусская;205.65
344;ПС 330 кВ Чудово;300
345;ПС 330 кВ Юго-Западная;250
