Наименование;Установленная мощность, МВА;Классы напряжения
ПС 220 кВ Венец;157;220/110/6
ПС 220 кВ Канаш;285.2;220/110/6
ПС 220 кВ Тюрлема;250;220/110/10
ПС 220 кВ Чебоксарская;189;220/10
