Наименование;Установленная мощность, МВА;Классы напряжения
ПС 330 кВ Белгород (нов.);500;330/110/10 КВ
ПС 330 кВ Валуйки;856;330/110/35/10
ПС 330 кВ Губкин;589;330/220/110/35
ПС 330 кВ Фрунзенская;390;330/110/10
ПС 500 кВ Старый Оскол;1752;500/330/110/35
ПС 750 кВ Металлургическая;3649;750/500/330/110/6
