Наименование;Установленная мощность, МВА;Классы напряжения
ПС 220 кВ Вельск;206;220/110/35/10
ПС 220 кВ Заовражье;156;220/110/35/10
ПС 220 кВ Кизема;50;220/35/10
ПС 220 кВ Коноша;176;220/110/35/10
ПС 220 кВ Обозерская;101;220/110/35/10
ПС 220 кВ Плесецк;126;220/110/10
ПС 220 кВ Савино;129,3;220/110/35/6
ПС 220 кВ Урдома;95;220/110/35/10
ПС 220 кВ Шангалы;127;220/110/35/10
РП 220 кВ РП 220 кВс ПС 110 кВ Первомайская;20;220/110/35/6
