46;"ПС";"Пролетарская - Дудко";110000;"ПС 107"
125;"ПС";"Стенд";110000;"ПС 94"
68;"ПС";"Стрельна-новая";110000;"ПС 65"
69;"ПС";"Стрельна";110000;"ПС 62"
131;"ПС";"Юнтолово";110000;
130;"ММПС";"Юнтолово";110000;
7;"КТПМ";"в районе РП 1780";35000;
8;"КТПМ";"в районе РП 1961";35000;
9;"КТПМ";"в районе РП 1892";35000;
11;"КТПМ";"в районе РП 1860";35000;
12;"КТПМ";"в районе РП 1715";35000;
13;"КТПМ";"в районе РП 1895";35000;
14;"КТПМ";"в районе РП 1887";35000;
5;"ПС";"Волхов-Петроградская";35000;"ПС 12"
138;"ПС";"на территори ТЭЦ-17 (перевод на 110000)";35000;
6;"ПС";"Пушкарская";35000;"ПС 830"
