Наименование;Установленная мощность, МВА;Классы напряжения
ПС 220 кВ  Бобров;282;220/110/35/10
ПС 220 кВ  Придонская;400;220/110/35
ПС 220 кВ № 12 Южная;530;220/110/35/6
ПС 220 кВ № 40 Кировская;400;220/110/35
ПС 220 кВ № 29 Латная;325;220/110/35
ПС 330 кВ Лиски;880;330/220/110/10
ПС 500 кВ Воронежская;500;500/110/10
