Наименование;Установленная мощность, МВА;Классы напряжения
ПС 220 кВ Майя;282;220/110/35/10
ПС 220 кВ Нижний Куранах;146;220/110/35/6
ПС 220 кВ НПС-11;80;220/10
ПС 220 кВ НПС-12;126;220/10
ПС 220 кВ НПС-13;80;220/10
ПС 220 кВ НПС-15;80;220/10
ПС 220 кВ НПС-16;80;220/10
ПС 220 кВ НПС-18;126;220/110/10
ПС 220 кВ НПС-19;80;220/10
ПС 220 кВ Олекминск;80;220/35/6
ПС 220 кВ Томмот;158;220/110/35
ПС 220 кВ Эльгауголь;250;220/110/35
