№ п/п;Наименование ПС;Классы напряжения, кВ;Адрес местонахождения ПС
185;Турий Рог;35/10;692695, Приморский край, Ханкайский р-н, Турий Рог с, Пограничная ул, дом № 43
186;Уборка;35/10;692610, Приморский край, Чугуевский р-н, Уборка с, Кубанская ул
187;Уссури;35/10;692033, Приморский край, Лесозаводск г, Луговая ул
188;Фадеево;35/10;692603, Приморский край, Чугуевский р-н, Булыга-Фадеево с
189;Хасанская;35/10;Приморский край, Хасанский р-н, пос.Шахта
190;Хвалынка;35/10;Приморский край, Спасский р-н, Гарнизон Хвалынка
191;Чернышевка;35/10;692320, Приморский край, Анучинский р-н, Чернышевка с, Первомайская, дом № 1
192;Чкаловка;35/10;692200, Приморский край, Спасский р-н, Чкаловское с, Пограничная ул, дом № 3, корпус а
193;Шмаковка;35/10;692086, Приморский край, Кировский р-н, Горные Ключи пгт, Юбилейная ул
194;Яблоновка;35/10;692366, Приморский край, Яковлевский р-н, Яблоновка с
195;Яковлевка;35/10;692361, Приморский край, Яковлевский р-н, Яковлевка с, Советская ул, дом № 163
196;Мельгуновка (Т2);35/10/6;692676, Приморский край, Ханкайский р-н, Мельгуновка с
197;Осиновка;35/10/6;692662, Приморский край, Михайловский р-н, Осиновка с, Краснознаменная ул
198;Силикатная;35/10/6;692485, Приморский край, Надеждинский р-н, Раздольное п, Силикатный завод
199;Авангард;35/6;692874, Приморский край, Партизанск г, Авангард пгт, Кирова ул, дом № 6, корпус б
200;Академическая;35/6;690041, Приморский край, Владивосток г, Мусоргского ул
201;Артемовская;35/6;692760, Приморский край, Артем г, Интернациональная ул, дом № 54
202;Астафьева;35/6;692920, Приморский край, Находка г, Астафьева ул, дом № 35, корпус а
203;Барановский полигон;35/6;692508, Приморский край, Уссурийск г, Дальняя ул, дом № 15
204;Бархатная;35/6;692919, Приморский край, Находка г, Набережная ул, дом № 1
205;В 2;35/6;692352, Приморский край, Яковлевский р-н, Варфоломеевка с, Молодежная
206;Верхняя;35/6;692830, Приморский край, Шкотовский р-н, Смоляниново пгт, Нагорная ул, дом № 1, корпус а
207;Владимиро-Александровское;35/6;692960, Приморский край, Партизанский р-н, Владимиро-Александровское с, Юбилейная ул
