Наименование объекта центра питания, класс напряжения;Год ввода/Год реконструкции (при изменении установленной мощности) ;Установленная мощность трансформаторов;Широта;Долгота
ПС 35/10 кВ Княщины  ;1981;5;57.3038483893704;34.5850470650272
ПС 35/10 кВ Козлово ;1972;5.8;57.5859762396447;35.4725719302409
ПС 35/10 кВ Красное Знамя ;1973;3.4;57.4219725397441;35.2034761689526
ПС 35/6 кВ Красный Май ;1991;20;57.6337738268088;34.3988783441598
ПС 35/10 кВ Куженкино ;1974;5;57.7221893152395;33.9505455031233
ПС 35/10 кВ Лукино  ;1981;4.1;57.6370771749426;34.9319553442563
ПС 35/6 кВ Макарово  ;1998;8;57.8159307899307;33.8465309893888
ПС 110/10 кВ Манихино;1983;5;57.9017593171552;34.5489692158969
ПС 35/10 кВ Молдино ;1981;2;57.7248395461474;35.2694109539255
ПС 35/10 кВ Ново-Кузьминская ;1972;2;58.0618745669615;34.9403258479821
ПС 35/10 кВ Овсище ;1983;4.1;57.7105239080721;35.0027956047964
ПС 35/6 кВ ОЭЗ  ;1971;5;57.5771733676439;34.5955581341512
ПС 35/10 кВ Плотично  ;1983;3.4;57.3868065073041;34.3451817947328
ПС 35/10 кВ Попово  ;1983;3.5;57.953110991656;35.3939330050187
ПС 35/10 кВ Пролетарий;1983;5;57.6620264979034;34.466291824711
ПС 35/10 кВ Рождество ;1987;5;57.5990458402567;33.802564181866
ПС 35/10 кВ Ряд ;1983;5;57.9453005778111;35.0694012328149
ПС 35/10 кВ Сеглино  ;1981;3.2;58.0205494510083;34.4799600347198
ПС 35/10 кВ Сороки ;1985;5;57.6155509151351;34.6012717531563
ПС 35/10 кВ Терелесово ;1987;3.2;57.5630120316191;34.7324289066054
ПС 35/10 кВ Тимково ;1978;3.2;58.0046251370835;34.2591698221074
ПС 35/10 кВ Фирово ;1985;5;57.4669655778836;33.685654540798
ПС 35/6 кВ Юбилейная ;1974;17.5;57.586412116686;34.539257743639
ПС 35/10 кВ Яконово ;1984;5;57.4627218179822;34.0724032002085
ПС 110/35/10 кВ Брусово  ;1982;20;57.8456706899387;35.3969212306228
ПС 110/35/6 кВ Выползово ;1972;20;57.8946373547185;33.6613700683744
ПС 110/35/6 кВ Вышний Волочек ;1957;80;57.6005077973247;34.5079506995875
ПС 110/35/10-6 кВ Кашарово ;1974;36;57.5610581438339;34.5526239458731
ПС 110/35/10 кВ Спирово ;1989;32;57.4245204421481;35.0006760859749
ПС 110/35/10 кВ Труд;1976;32;57.5990178775236;33.9757369210938
ПС 110/35/10 кВ Удомля  ;1982;50;57.8668449368524;35.0086217304036
ПС 110/35/10 кВ Холохоленка ;1974;12.6;57.4687658728442;34.7166171638618
ПС 110/35/10 кВ Леонтьево ;1959;50;57.6373730820971;34.4656508299093
ПС 35/6 кВ Микрорайонная ;1980;6.3;56.8880554901099;37.371419727634
ПС 35/10 кВ Барыково ;1977;5;57.2445146965355;37.5840157056717
ПС 35/6 кВ Б.Городок ;1963;11.9;56.9599027313576;37.5132460347504
ПС 35/10 кВ Вега ;1988;5;57.2424803113261;37.8842216814469
ПС 35/10 кВ Волга ;1992;12.6;56.848672463075;37.3798294138677
ПС 35/10 кВ Ильинское ;1960;6.5;56.9472365728064;37.1664720235638
ПС 35/10 кВ Калязин ;1972;12.6;57.2325275754039;37.8566391711128
ПС 35/6 кВ Кимры ;1954;32;56.851855272636;37.3556672172278
ПС 35/10 кВ Козьмодемьяновская ;1981;5;57.4870167246678;37.6678226769919
ПС 35/10 кВ Курортная ;1987;8;57.3654840804609;37.6093593918201
ПС 35/10 кВ Маяк ;1977;12.6;56.8859614338856;37.3821968413845
ПС 35/10 кВ Микрорайонная ;1980;8;56.8880554901099;37.371419727634
ПС 35/10 кВ Нагорское;1977;4.3;56.9110753599625;38.0915559877398
ПС 35/10 кВ Неклюдово;1962;3.2;57.1435134577734;37.3441546512628
ПС 35/10 кВ Нерль;1976;6.5;57.0407042689344;37.9802126511788
ПС 35/10 кВ Плутково  ;1983;5;57.1136419951569;37.8698357479623
ПС 35/10 кВ Савцино ;1976;5;57.4246773259102;37.1596613611617
ПС 35/10 кВ Сотское ;1976;4.1;57.1049543327151;37.133904858659
ПС 35/10 кВ Стоянцы ;1979;5;57.0108229117314;36.8387490291885
ПС 35/10 кВ Уланово ;1979;3.2;57.2700633324803;38.0437394795952
ПС 35/10 кВ Уницы ;1982;8;57.4622033265094;37.2407741557525
ПС 35/10 кВ Фенево ;1977;5;57.5999979455177;37.4899907307936
ПС 35/10 кВ Фролово ;1976;5;57.3174330327038;37.7540841614223
 ПС 110/10 кВ Зарница ;1994;20;56.901222455108;37.0415695962537
ПС 110/10 кВ Зобнино ;1979;5;57.3255850846136;37.3730488236251
ПС 110/10 кВ Инякино ;1982;50;57.5944027339376;37.2099077772821
 ПС 110/35/10 кВ Василево ;1983;12.6;56.9952509530515;37.0626642547667
ПС 110/35/10 кВ Борки  ;1963;65;56.8231447384737;37.3579739629226
ПС 110/35/10 кВ  Верхняя Троица ;1960;12.6;57.2552919177947;37.1405924463624
ПС 110/35/10 кВ Горицы ;1963;12.6;57.156631058685;36.7440367969052
ПС 110/35/10 кВ Луч ;1982;32;57.2238694488041;37.8025536042756
ПС 110/35/10 кВ Простор ;1963;50;57.3517431143661;37.5759316821487
ПС 110/35/10 кВ  Радуга ;1980;65;56.853632203928;37.3350268575222
ПС 110/35/10 кВ Роща ;1988;20;57.5959695760164;37.2809503390918
ПС 110/10 кВ Бибирево;1979;2.5;56.3891748498604;32.3176104685575
ПС 35/10 кВ Бор;1969;1.6;56.4557735737027;31.3806723788598
ПС 110/10 кВ Воробьи;1992;2.5;56.3665893761273;31.3822663631493
ПС 35/10 кВ Гекса;2014;6.3;56.408223;31.638242
ПС 35/10 кВ Глазомичи;1985;2.5;55.815755702066;31.4666890538183
ПС 35/10 кВ Жарки;1968;2.5;55.863897874483;32.2785135593817
ПС 35/10 кВ Земцы;1969;2.5;56.25800584728;32.3589774185134
ПС 35/10 кВ Ковалево;1982;2.5;56.3961383687135;32.790010688667
ПС 35/10 кВ Коротыши;1977;1.6;56.0854862149997;31.859428192368
ПС 110/10 кВ Монино;1969;6.3;56.0672376295976;32.8443175433923
ПС 35/10 кВ Озерец;1987;1;56.5113113367915;31.1167210487743
ПС 35/10 кВ Пожня;1981;1.6;56.6562348814913;31.40388826337
ПС 35/10 кВ Половцово;1960;1.6;56.2215099316866;32.7488081566394
ПС 110/10 кВ Понизовье;1987;2.5;56.4891094482898;31.843254812482
ПС 35/10 кВ Синьково;1968;1;56.8981088034432;32.0772458405082
ПС 35/10 кВ Улин;1980;1.6;56.2755726064689;31.9360874224983
ПС 35/10 кВ Кавельщино;1979;2.5;55.8018323138977;33.1053415429155
ПС 35/10 кВ Бологово;1969;4.1;56.8889376681354;31.711828797539
ПС 35/10 кВ Верховье;1967;3.5;55.9013992615975;33.3766009930778
ПС 35/10 кВ Воскресенское;1963;3.2;56.6455531249794;31.7581185050953
ПС 35/10 кВ Дашково;1988;8;56.5369758256651;31.6038603641646
ПС 110/10 кВ Ерохино;1980;50;56.5307646564134;32.1788932792073
ПС 35/10 кВ Ильино;1967;4.1;55.9479450739462;31.6858268465329
ПС 35/10 кВ Плоскошь;1965;7.2;56.7869291047542;31.259684304533
ПС 35/6 кВ Половцово;1960;11.2;56.2215099316866;32.7488081566394
ПС 35/10 кВ Старая Торопа;1964;8;56.2802978042156;31.6780277611938
ПС 110/35/10 кВ Андреаполь;1966;20;56.6640000596449;32.2818454985253
ПС 110/35/10 кВ Белый;1990;26;55.866963548748;32.9511187400955
ПС 110/35/10 кВ Западная Двина;1962;20;56.2513993511681;32.0903693373739
ПС 110/35/10 кВ Торопец;1989;50;56.4935155653552;31.6400558592065
ПС 35/10 кВ Бахмутово ;1983;2.5;56.3736819510014;34.0362451051982
ПС 35/10 кВ Пятницкое ;1981;2.5;56.0863419334366;34.0332793015443
ПС 35/10 кВ Карамзино ;1983;1.6;56.0125654071891;34.5479771538534
ПС 35/10 кВ Княжьи Горы  ;1975;2.5;56.0924055462945;35.2378887369735
ПС 35/10 кВ Салино ;1979;2.5;56.2803286092138;35.0813309280584
ПС 35/10 кВ Гусево ;1980;2.5;56.1000058840015;33.338437811308
ПС 35/10 кВ Молодой Туд ;1964;2.5;56.4069237911263;33.6051482460521
ПС 35/10 кВ Ильенки ;1982;2.5;56.3416195628589;33.4908703412684
ПС 35/10 кВ Каденка ;1988;1;56.4134132592357;33.3073026815256
ПС 35/10 кВ Родня ;1981;2.5;56.3838590665182;34.9025758356114
ПС 35/10 кВ Берново ;1979;1.6;56.6748274845901;34.7131527694201
ПС 35/10 кВ РМК ;1976;20;56.2665247581897;34.2709685388025
ПС 35/10 кВ Осуга ;1972;5;56.0238544268759;34.3115376772857
ПС 35/10 кВ Мин.Дворы ;1960;5.7;56.4658828467095;34.0350186956476
ПС 35/10 кВ Клешнево ;1973;8;56.2654017488419;34.4570924679253
