№ п/п;Наименование центра питания;Класс напряжения, кВ;Установленная мощность, МВА
202;Горка;110000/35000/6000;32
203;Городская;110000/10000;32
204;Горшки;35000/10000;5
205;Дачная;110000/10000;6,3
206;Дикая-Гарь;110000/10000;2,5
207;Дмитриевская;35000/10000;3,4
208;Добрянка;110000/6000;20
209;Запальта;110000/6000;12,6
210;Заречье;110000/35000/10000;45
211;Ивановская;35000/10000;1,6
212;Ильинская;35000/10000;11,9
213;Клин;110000/10000;80
214;Кондратово;110000/10000;32
215;Кочкино;110000/10000;32
216;Кояново;35000/10000/6000;14,4
217;Красава-1;35000/6000;5,6
218;Красава-2;35000/6600;1,8
219;Красава-3;110000/10000;2,5
220;Краснокамск;35000/6000;20
221;Кривец;110000/35000/10000;26
222;Куликовка;110000/35000/10000;32
223;Култаево;35000/10000;12,6
224;Курашим;110000/10000;12,6
225;Лесная;35000/6000;1,8
226;Лобаново;35000/10000;12,6
227;Лунежская;110000/10000;12,6
228;Малиновская;110000/10000;80
229;Машзавод;35000/6000;12,6
230;Мокино;35000/10000;3,2
231;Мостовая;110000/10000;50
232;Муллы;110000/35000/10000;32
233;Насосная;35000/6000;8
234;Новоильинская;35000/6000;8
235;Оверята;110000/35000/6000;6,4
236;Пальники;110000/35000/6000;80
237;Перемская;110000/10000;12,6
238;Пермь;110000/35000/6000;126
239;Победа;35000/10000;5
240;Покровская;110000/10000;5
241;Полазна;35000/6000;20
242;Полуденная;35000/6000;2,5
243;Промплощадка;110000/6000;32
244;Протасы;110000/10000;32
245;Рассвет;110000/10000;2,5
246;Русаки;110000/35000/6000;16,3
247;Северокамск;35000/6000;8
248;Сенькино;35000/10000;5
249;Сылва;35000/6000;12,6
250;Трактовая;110000/35000/10000;50
251;Троица;110000/10000;32
252;Усть-Качка;35000/6000;12,6
253;Хмели;35000/10000;12,6
254;Чермоз;35000/10000;12,6
255;Юг;35000/10000;6,4
256;Юго-Камск;110000/35000/6000;31
257;Янычи;110000/10000;6,3
258;Алтынная;35000/10000;4
259;Альняш;35000/10000;10,3
260;Барда;110000/35000/10000;20
261;Березовка;110000/10000;50
262;Бичурино;35000/10000;5
263;Б.Талмаз;35000/10000;5,8
264;Б.Уса;35000/10000;7,2
265;Вассята;35000/10000;8
266;Гамицы;35000/10000;8
267;Гондырь;110000/35000/10000;26
268;Деменево;110000/35000/6000;50
269;Дороховка;110000/35000/6000;32
270;Дубовая;110000/10000;32
271;Дуброво;35000/10000;4
272;Елово;110000/35000/10000;20
273;Елпачиха;110000/10000;12,6
274;Завьяловская;110000/10000;50
275;Заря;110000/10000;32
276;Зязелга;110000/10000;32
277;Ивановка;110000/10000;25
278;Комарово;110000/10000;5
279;Константиновка;110000/35000/6000;32
280;Крылово;110000/35000/6000;16,3
281;Куеда;110000/35000/10000;50
282;КШТ;110000/35000/10000;126
283;Лукинцы;110000/35000/10000;26
284;Машзавод;35000/6000;20
285;Н.Ашап;35000/10000;5
286;Октябрьская;35000/10000;12,6
287;Оса;110000/35000/6000;32
288;Островная;110000/10000;20
289;Ошья;35000/10000;5,7
290;Павловка;35000/6000;12,6
291;Паль;110000/35000/10000;26
292;Пермяковская;110000/6000;12,6
293;Печмень;110000/6000;12,6
294;Прикамье;35000/10000;12,6
295;Рябки;35000/10000;6,3
296;Сайгатка;110000/10000;50
297;Сараши;35000/10000;2,5
298;Сосновка;35000/10000;3,6
299;Тауш;110000/10000;16,3
300;Тюш;35000/10000;7,2
301;Уваряж;35000/10000;6,5
302;Уразметьево;35000/10000;5
303;Федоровская;35000/10000;6,5
304;Фоки;35000/10000;12,6
305;ЦСП;110000/10000;12,6
306;Чайковская;110000/10000;32
307;Чернушка;110000/35000/10000;80
308;Шермейка;35000/10000;2,5
309;Щ.Озеро;110000/35000/10000;26
310;Александровск;110000/35000/6000;21,3
311;Верстовская;110000/10000;50
312;Газокомпрессорная;35000/6000;12,6
313;Гидролизная;110000/35000/6000;17,5
314;Горнозаводская;110000/10000;32
315;Гремячая-1;110000/35000/6000;50
316;Гремячая-2;35000/6000;12,6
317;Губаха;35000/6000;16,3
318;Дайка;110000/6000;2,5
319;Каменный лог;35000/6000;2
320;Кизел;110000/35000/6000;111,5
321;Кизел-Городская;35000/6000;20
322;Ключевская;35000/6000;12,6
323;Комариха;35000/6000;1,8
324;Коспаш-1;35000/6000;11,2
325;Коспаш-2;35000/6000;20
326;Коспаш-3;35000/6000;10
327;Кусья;35000/6000;1,8
328;Кын;35000/10000;6,3
329;ЛДСК;110000/6000;32
330;Левобережная;35000/10000;20
331;Лысьва;110000/35000/6000;91,5
332;Лысьва-35;35000/6000;32
333;Лязгино-1;110000/10000;50
334;Лязгино-2;110000/10000;50
335;Лямино;35000/6000;10
336;Мартелово;110000/10000;12,6
337;Медведка;35000/6000;1
338;Молокозавод;35000/6000;4
339;Мульковская;110000/10000;20
340;Насосная;35000/6000;5
341;Никифорово;110000/10000;12,6
342;НоваяПашия;110000/35000/6000;63
343;Новорождественская;110000/10000;12,6
344;Половинка;35000/6000;26
345;Промысла;110000/35000/6000;12,6
346;Сёла;110000/10000;12,6
347;Скальная;110000/6000;12,6
348;Снежная;110000/10000;20
349;Строитель;110000/6000;16,3
350;Тогур;110000/6000;12,6
351;Угольная;110000/35000/6000;16
352;Усьва;35000/6000;11,2
353;Чунжино;110000/35000/10000;16
354;Чусовая;110000/35000/6000;80
355;Шахта-6;35000/6000;20
356;Шумиха;35000/6000;12,6
357;Боровица;35000/10000;5
358;Северный Колчим;35000/6000;1
359;Чурочная;110000/35000/6000;6,3
360;Дурманы;110000/6000;80
361;Калийная;110000/6000;50
362;Минирал;110000/6000;64
363;Рудник;110000/6000;50
364;Резвухино;110000/10000/6000;160
365;Карналит;110000/6000;72
366;Заполье;110000/6000;80
367;Ермаковская;110000/6000;50
368;Вентиляторная;110000/6000;16
369;Временная;110000/6000;16
370;Сибирь;110000/6000;80
371;Пермяково;110000/6000;126
372;Кировская;35000/6000;8
373;УТ-18;35000/10000;3,2
374;Жигули;110000/10000;32
375;БПО;35000/6000;6,3
